Local Authority Reference,Works Type,Sex of Casualty,Age of Casualty,Category/__cdata/0,Direction,DistrictNumber,Latitude,Longitude
LA00433054,MAJOR,Female,22, Accident ,SOUTHBOUND,2,41.550483,-83.604071
LA00435763,MAJOR,Male,62, Roadwork - Planned ,BOTH DIRECTIONS,3,41.3574,-82.634883
LA00435449,HIGHWAYS ACT PERMITS,Male,17, Roadwork - Planned ,BOTH DIRECTIONS,11,40.071155,-80.877089
LA00433068,HIGHWAYS ACT PERMITS,Male,19, Roadwork - Planned ,EASTBOUND,3,41.32898,-82.478089
LA00437633,HIGHWAYS ACT PERMITS,Female,14, Roadwork - Planned ,BOTH DIRECTIONS,12,41.393391,-81.510315
LA00432752,HIGHWAYS ACT PERMITS,Female,15, Roadwork - Planned ,BOTH DIRECTIONS,9,38.835817,-82.851183
LA00436192,HIGHWAYS ACT PERMITS,Male,16, Roadwork - Planned ,EASTBOUND,10,39.413524,-82.648387
LA00388834,MAJOR,Female,40, Roadwork - Planned ,BOTH DIRECTIONS,11,40.190989,-80.996302
LA00434396,HIGHWAYS ACT PERMITS,Female,23, Roadwork - Planned ,BOTH DIRECTIONS,5,40.053103,-81.325309
LA00437778,HIGHWAYS ACT PERMITS,Male,33, Roadwork - Planned ,SOUTHBOUND,12,41.493418,-81.683112
LA00433350,MAJOR,Male,13, Roadwork - Planned ,BOTH DIRECTIONS,11,40.264176,-80.983256
LA00436896,MINOR,Female,23, Other ,WESTBOUND,4,40.82957,-81.394614
LA00424401,MINOR,Female,76, Roadwork - Unplanned ,BOTH DIRECTIONS,10,39.846243,-81.023725
LA00429897,MINOR,Female,45, Roadwork - Planned ,BOTH DIRECTIONS,8,39.104959,-84.504583
LA00433460,HIGHWAYS ACT PERMITS,Male,10, Roadwork - Planned ,BOTH DIRECTIONS,8,39.543948,-84.063248
LA00434501,STANDARD,Female,45, Roadwork - Planned ,BOTH DIRECTIONS,11,40.37199,-80.60966
LA00434098,MAJOR,Female,28, Roadwork - Planned ,BOTH DIRECTIONS,1,40.627757,-82.333005
LA00422490,MAJOR,Male,29, Roadwork - Unplanned ,WESTBOUND,10,39.516267,-82.156166
LA00418363,MAJOR,Male,59, Roadwork - Planned ,BOTH DIRECTIONS,6,39.954099,-82.989285
LA00425290,HIGHWAYS ACT PERMITS,Female,20, Roadwork - Planned ,NORTHBOUND,4,41.060573,-81.504431
LA00429930,HIGHWAYS ACT PERMITS,Male,19, Roadwork - Unplanned ,NORTHBOUND,10,39.062242,-81.813065
LA00431624,HIGHWAYS ACT PERMITS,Male,20, Roadwork - Unplanned ,NORTHBOUND,10,39.676386,-80.880468
LA00435681,HIGHWAYS ACT PERMITS,Female,43, Roadwork - Planned ,BOTH DIRECTIONS,4,41.061702,-81.52662
LA00431549,HIGHWAYS ACT PERMITS,Male,30, Roadwork - Planned ,BOTH DIRECTIONS,8,39.398603,-84.452285
LA00394407,MAJOR,Male,56, Roadwork - Planned ,BOTH DIRECTIONS,5,40.273157,-81.739337
LA00435768,MAJOR,Female,35, Roadwork - Planned ,BOTH DIRECTIONS,4,40.76967,-81.338921
LA00437631,STANDARD,Male,49, Roadwork - Planned ,BOTH DIRECTIONS,8,39.125108,-84.535983
LA00436299,STANDARD,Female,65, Roadwork - Planned ,EASTBOUND,4,41.061672,-81.506796
LA00432711,HIGHWAYS ACT PERMITS,Female,26, Accident ,NORTHBOUND,6,39.950654,-83.016378
LA00434693,STANDARD,Male,52, Roadwork - Planned ,BOTH DIRECTIONS,4,41.524395,-80.868042
LA00435684,HIGHWAYS ACT PERMITS,Female,46, Roadwork - Planned ,BOTH DIRECTIONS,4,40.882227,-81.431531
LA00432435,MAJOR,Female,45, Roadwork - Planned ,BOTH DIRECTIONS,8,39.336646,-84.282077
LA00433111,HIGHWAYS ACT PERMITS,Male,23, Roadwork - Planned ,SOUTHBOUND,2,41.674441,-83.574994
LA00433360,MAJOR,Male,18, Roadwork - Planned ,BOTH DIRECTIONS,3,41.394533,-82.004742
LA00431387,MAJOR,Female,75, Roadwork - Planned ,BOTH DIRECTIONS,12,41.480009,-81.661771
LA00429489,HIGHWAYS ACT PERMITS,Male,80, Roadwork - Planned ,BOTH DIRECTIONS,10,39.562199,-81.44942
LA00437486,MINOR,Female,20, Roadwork - Planned ,BOTH DIRECTIONS,7,39.876146,-84.234465
LA00435044,MAJOR,Male,37, Roadwork - Unplanned ,NORTHBOUND,10,39.73725,-81.116559
LA00435991,MAJOR,Female,19, Roadwork - Unplanned ,BOTH DIRECTIONS,10,39.584839,-81.647436
LA00433763,HIGHWAYS ACT PERMITS,Female,59, Roadwork - Planned ,SOUTHBOUND,4,41.063161,-81.505375
LA00437724,HIGHWAYS ACT PERMITS,Male,16, Roadwork - Planned ,BOTH DIRECTIONS,9,38.686237,-83.745581
LA00435578,MAJOR,Male,58, Roadwork - Planned ,BOTH DIRECTIONS,12,41.725616,-81.268959
LA00421999,MAJOR,Female,25, Roadwork - Planned ,BOTH DIRECTIONS,9,39.200853,-83.602912
LA00435466,MAJOR,Female,22, Flooding ,BOTH DIRECTIONS,11,40.476794,-81.980156
LA00426210,HIGHWAYS ACT PERMITS,Female,35, Roadwork - Planned ,BOTH DIRECTIONS,11,40.374704,-80.6126
LA00431323,MINOR,Male,40, Roadwork - Planned ,BOTH DIRECTIONS,11,40.073966,-80.967386
LA00429279,HIGHWAYS ACT PERMITS,Female,55, Roadwork - Planned ,BOTH DIRECTIONS,8,39.103197,-84.499687
LA00434973,MINOR,Male,18, Roadwork - Planned ,BOTH DIRECTIONS,9,38.770986,-82.872565
LA00388854,MAJOR,Female,33, Roadwork - Planned ,BOTH DIRECTIONS,12,41.498514,-81.705228
LA00437554,STANDARD,Male,22, Roadwork - Planned ,NORTHBOUND,8,39.579451,-83.68306
LA00375139,HIGHWAYS ACT PERMITS,Female,50, Roadwork - Planned ,BOTH DIRECTIONS,10,39.281224,-81.624693
LA00435589,HIGHWAYS ACT PERMITS,Male,41, Roadwork - Planned ,BOTH DIRECTIONS,10,39.531448,-81.769992
LA00394405,MAJOR,Male,27, Roadwork - Planned ,BOTH DIRECTIONS,8,39.059969,-84.416877
LA00427428,STANDARD,Male,56, Roadwork - Planned ,BOTH DIRECTIONS,8,39.170503,-84.408852
LA00433779,MAJOR,Female,34, Roadwork - Planned ,BOTH DIRECTIONS,12,41.636361,-81.437605
LA00418370,MAJOR,Female,17, Roadwork - Planned ,BOTH DIRECTIONS,12,41.476334,-81.660906
LA00434291,HIGHWAYS ACT PERMITS,Female,11, Roadwork - Planned ,BOTH DIRECTIONS,2,41.515172,-82.94298
LA00436288,MINOR,Male,43, Roadwork - Planned ,BOTH DIRECTIONS,12,41.490292,-81.668335
LA00432043,MAJOR,Female,18, Roadwork - Planned ,BOTH DIRECTIONS,3,40.826528,-82.973279
LA00435486,STANDARD,Female,19, Roadwork - Planned ,BOTH DIRECTIONS,4,40.804822,-81.280517
LA00436141,ROAD RESTRICTION,Female,19, Roadwork - Planned ,BOTH DIRECTIONS,4,40.826486,-81.398918
LA00428167,HIGHWAYS ACT PERMITS,Male,38, Roadwork - Planned ,WESTBOUND,9,38.739372,-82.970599
LA00432709,HIGHWAYS ACT PERMITS,Male,12, Roadwork - Planned ,NORTHBOUND,12,41.578996,-81.549174
LA00435012,MAJOR,Male,42, Roadwork - Planned ,WESTBOUND,12,41.475027,-81.690211
LA00436946,STANDARD,Female,24, Roadwork - Planned ,BOTH DIRECTIONS,8,39.153983,-84.443227
LA00433059,HIGHWAYS ACT PERMITS,Male,61, Roadwork - Planned ,BOTH DIRECTIONS,5,40.255056,-82.051506
LA00436624,HIGHWAYS ACT PERMITS,Male,42, Roadwork - Planned ,WESTBOUND,3,41.349028,-82.831251
LA00435225,HIGHWAYS ACT PERMITS,Female,35, Flooding ,BOTH DIRECTIONS,10,39.321816,-82.405701
LA00435473,MINOR,Female,57, Roadwork - Planned ,BOTH DIRECTIONS,4,40.863991,-81.364516
LA00435442,STANDARD,Female,46, Roadwork - Planned ,BOTH DIRECTIONS,4,41.06304,-81.517555
LA00400148,HIGHWAYS ACT PERMITS,Male,7, Roadwork - Planned ,BOTH DIRECTIONS,1,40.779366,-83.526477
LA00423418,MAJOR,Male,18, Roadwork - Planned ,BOTH DIRECTIONS,1,40.914506,-84.350756
LA00430735,HIGHWAYS ACT PERMITS,Female,19, Roadwork - Planned ,SOUTHBOUND,11,40.56536,-80.657608
LA00437178,HIGHWAYS ACT PERMITS,Male,15, Roadwork - Planned ,NORTHBOUND,1,41.02452,-83.676268
LA00436044,STANDARD,Female,16, Roadwork - Planned ,BOTH DIRECTIONS,9,39.130953,-82.887805
LA00436069,MAJOR,Male,46, Roadwork - Planned ,BOTH DIRECTIONS,11,39.905557,-80.90364
LA00436493,MAJOR,Male,35, Roadwork - Planned ,WESTBOUND,10,39.805745,-81.290816
LA00437744,MAJOR,Male,37, Other ,WESTBOUND,12,41.503169,-81.699251
LA00421622,MAJOR,Male,67, Roadwork - Planned ,EASTBOUND,10,39.533241,-81.247419
LA00435308,MINOR,Male,22, Roadwork - Planned ,BOTH DIRECTIONS,7,40.620346,-84.258668
LA00437743,STANDARD,Male,32, Roadwork - Planned ,BOTH DIRECTIONS,8,39.240756,-84.451678
LA00436142,ROAD RESTRICTION,Female,23, Roadwork - Unplanned ,BOTH DIRECTIONS,8,39.09284,-84.509877
LA00422080,HIGHWAYS ACT PERMITS,Female,47, Roadwork - Planned ,BOTH DIRECTIONS,9,38.850258,-82.867943
LA00426206,HIGHWAYS ACT PERMITS,Female,9, Roadwork - Planned ,BOTH DIRECTIONS,11,40.377617,-80.615856
LA00436191,HIGHWAYS ACT PERMITS,Female,7, Roadwork - Planned ,BOTH DIRECTIONS,5,39.948567,-82.047369
LA00436497,STANDARD,Female,4, Roadwork - Planned ,BOTH DIRECTIONS,10,39.131066,-82.427038
LA00436303,MAJOR,Male,31, Roadwork - Planned ,BOTH DIRECTIONS,12,41.409337,-81.628261
LA00436494,STANDARD,Female,6, Roadwork - Planned ,BOTH DIRECTIONS,4,41.038599,-81.663986
LA00437505,MINOR,Male,21, Roadwork - Planned ,WESTBOUND,6,39.884299,-83.024222
LA00437051,MAJOR,Female,50, Roadwork - Planned ,BOTH DIRECTIONS,8,39.104952,-84.501305
LA00329314,HIGHWAYS ACT PERMITS,Male,51, Roadwork - Planned ,BOTH DIRECTIONS,3,40.962186,-82.086579
LA00422244,HIGHWAYS ACT PERMITS,Female,28, Roadwork - Planned ,BOTH DIRECTIONS,9,39.436488,-83.222742
LA00433915,MAJOR,Female,54, Roadwork - Planned ,EASTBOUND,7,39.865379,-83.993095
LA00429066,STANDARD,Male,32, Roadwork - Planned ,BOTH DIRECTIONS,9,39.165527,-83.22064
LA00433711,MAJOR,Female,32, Roadwork - Planned ,BOTH DIRECTIONS,9,38.774274,-82.874216
LA00398695,HIGHWAYS ACT PERMITS,Female,4, Roadwork - Planned ,BOTH DIRECTIONS,7,39.856257,-84.412929
LA00430424,MINOR,Male,50, Roadwork - Planned ,WESTBOUND,8,39.192891,-84.477114
LA00430613,STANDARD,Male,22, Roadwork - Planned ,WESTBOUND,3,41.379491,-82.006514
LA00434936,MINOR,Female,36, Roadwork - Unplanned ,WESTBOUND,2,41.50308,-82.838257
LA00429057,STANDARD,Male,74, Roadwork - Planned ,BOTH DIRECTIONS,7,40.55862,-84.320041
LA00429901,MINOR,Male,50, Roadwork - Planned ,BOTH DIRECTIONS,9,38.758102,-82.895656
LA00435459,MAJOR,Female,46, Flooding ,BOTH DIRECTIONS,11,40.762271,-80.707861
LA00436984,HIGHWAYS ACT PERMITS,Male,32, Roadwork - Planned ,BOTH DIRECTIONS,4,40.960712,-80.639401
LA00437403,HIGHWAYS ACT PERMITS,Male,20, Roadwork - Planned ,WESTBOUND,3,41.376911,-82.253446
LA00427426,HIGHWAYS ACT PERMITS,Female,41, Roadwork - Planned ,BOTH DIRECTIONS,2,41.679137,-83.574077
LA00426294,HIGHWAYS ACT PERMITS,Female,26, Roadwork - Planned ,BOTH DIRECTIONS,3,40.953794,-82.071602
LA00342544,HIGHWAYS ACT PERMITS,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,11,40.624107,-80.586743
LA00398179,HIGHWAYS ACT PERMITS,Male,28, Roadwork - Unplanned ,NORTHBOUND,10,39.642723,-80.917629
LA00435993,STANDARD,Male,20, Roadwork - Unplanned ,EASTBOUND,10,39.652343,-81.887852
LA00429931,HIGHWAYS ACT PERMITS,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,12,41.503396,-81.651857
LA00434545,MAJOR,Male,53, Roadwork - Planned ,NORTHBOUND,12,41.501517,-81.479787
LA00435992,MAJOR,Female,23, Roadwork - Planned ,WESTBOUND,3,41.34178,-82.350765
LA00436197,MAJOR,Female,55, Roadwork - Planned ,BOTH DIRECTIONS,9,39.135152,-82.546234
LA00437240,MAJOR,Male,24, Accident ,NORTHBOUND,2,41.55303,-83.599076
LA00342550,HIGHWAYS ACT PERMITS,Female,15, Roadwork - Planned ,SOUTHBOUND,6,40.097275,-83.137311
LA00437334,HIGHWAYS ACT PERMITS,Female,23, Roadwork - Planned ,BOTH DIRECTIONS,10,39.762242,-81.116756
LA00429883,STANDARD,Male,65, Roadwork - Planned ,BOTH DIRECTIONS,7,40.661499,-84.420567
LA00429978,MAJOR,Male,33, Roadwork - Unplanned ,BOTH DIRECTIONS,11,40.624995,-80.587419
LA00399413,HIGHWAYS ACT PERMITS,Male,57, Roadwork - Planned ,BOTH DIRECTIONS,4,41.041634,-81.609855
LA00402793,HIGHWAYS ACT PERMITS,Male,40, Roadwork - Planned ,BOTH DIRECTIONS,4,41.063744,-81.527123
LA00432763,MAJOR,Male,42, Roadwork - Planned ,BOTH DIRECTIONS,11,40.248186,-81.203034
LA00429335,HIGHWAYS ACT PERMITS,Male,43, Roadwork - Planned ,BOTH DIRECTIONS,2,41.650323,-83.548893
LA00437069,MAJOR,Male,36, Roadwork - Planned ,BOTH DIRECTIONS,4,40.960161,-80.640088
LA00429305,MAJOR,Male,13, Roadwork - Planned ,BOTH DIRECTIONS,11,40.397091,-80.633082
LA00428076,HIGHWAYS ACT PERMITS,Male,30, Roadwork - Planned ,BOTH DIRECTIONS,8,39.600795,-83.721448
LA00437547,MINOR,Female,23, Roadwork - Planned ,BOTH DIRECTIONS,10,39.202063,-81.768834
LA00437735,STANDARD,Female,67, Accident ,BOTH DIRECTIONS,11,40.464114,-80.972414
LA00434611,MAJOR,Male,52,,,,,
LA00398177,HIGHWAYS ACT PERMITS,Female,56,,,,,
LA00435988,MAJOR,Male,25,,,,,
LA00381738,HIGHWAYS ACT PERMITS,Female,57,,,,,
LA00436512,STANDARD,Female,43,,,,,
LA00431455,MAJOR,Male,60,,,,,
LA00409937,HIGHWAYS ACT PERMITS,Female,72,,,,,
LA00428121,HIGHWAYS ACT PERMITS,Male,56,,,,,
LA00433511,MAJOR,Male,34,,,,,
LA00437716,STANDARD,Male,63,,,,,
LA00434900,MAJOR,Female,62,,,,,
LA00434615,HIGHWAYS ACT PERMITS,Female,21,,,,,
LA00436488,HIGHWAYS ACT PERMITS,Male,40,,,,,
LA00436458,HIGHWAYS ACT PERMITS,Female,31,,,,,
LA00437105,STANDARD,Female,10,,,,,
LA00399087,HIGHWAYS ACT PERMITS,Male,24,,,,,
LA00426418,HIGHWAYS ACT PERMITS,Male,43,,,,,
LA00436291,STANDARD,Male,64,,,,,
LA00424322,HIGHWAYS ACT PERMITS,Male,45,,,,,
LA00437560,HIGHWAYS ACT PERMITS,Female,28,,,,,
LA00437570,MINOR,Female,28,,,,,
LA00425293,HIGHWAYS ACT PERMITS,Female,32,,,,,
LA00432747,MAJOR,Female,21,,,,,
LA00428078,HIGHWAYS ACT PERMITS,Female,22,,,,,
LA00430431,HIGHWAYS ACT PERMITS,Female,18,,,,,
LA00331735,HIGHWAYS ACT PERMITS,Male,25,,,,,
LA00437107,HIGHWAYS ACT PERMITS,Male,24,,,,,
LA00437620,MAJOR,Female,38,,,,,
LA00429560,HIGHWAYS ACT PERMITS,Male,42,,,,,
LA00437052,STANDARD,Male,9,,,,,
LA00436059,STANDARD,Male,8,,,,,
LA00434933,STANDARD,Male,10,,,,,
LA00428675,MINOR,Male,34,,,,,
LA00434681,STANDARD,Female,26,,,,,
LA00437337,HIGHWAYS ACT PERMITS,Male,29,,,,,
LA00433060,MAJOR,Male,44,,,,,
LA00424107,HIGHWAYS ACT PERMITS,Male,57,,,,,
LA00420436,HIGHWAYS ACT PERMITS,Male,7,,,,,
LA00428456,STANDARD,Male,26,,,,,
LA00432300,MAJOR,Female,25,,,,,
LA00436429,HIGHWAYS ACT PERMITS,Male,17,,,,,
LA00436635,MAJOR,Female,21,,,,,
LA00402276,HIGHWAYS ACT PERMITS,Male,20,,,,,
LA00437573,HIGHWAYS ACT PERMITS,Female,51,,,,,
LA00435860,MAJOR,Male,69,,,,,
LA00433992,STANDARD,Female,17,,,,,
LA00424570,STANDARD,Male,19,,,,,
LA00426423,HIGHWAYS ACT PERMITS,Male,57,,,,,
LA00433317,HIGHWAYS ACT PERMITS,Female,35,,,,,
LA00436068,MAJOR,Female,20,,,,,
LA00397645,MAJOR,Male,17,,,,,
LA00437495,HIGHWAYS ACT PERMITS,Female,22,,,,,
LA00422245,HIGHWAYS ACT PERMITS,Female,22,,,,,
LA00417438,MINOR,Male,25,,,,,
LA00437807,HIGHWAYS ACT PERMITS,Female,24,,,,,
LA00429602,MAJOR,Male,23,,,,,
LA00436985,HIGHWAYS ACT PERMITS,Male,42,,,,,
LA00432513,STANDARD,Male,29,,,,,
LA00435441,MAJOR,Female,30,,,,,
LA00420052,HIGHWAYS ACT PERMITS,Male,18,,,,,
LA00436450,MAJOR,Male,40,,,,,
LA00434901,MAJOR,Male,32,,,,,
LA00427817,MAJOR,Male,16,,,,,
LA00436940,STANDARD,Male,72,,,,,
LA00432764,MINOR,Male,39,,,,,
LA00436298,STANDARD,Female,34,,,,,
LA00433536,MAJOR,Male,57,,,,,
LA00428112,HIGHWAYS ACT PERMITS,Female,44,,,,,
LA00437071,MAJOR,Male,7,,,,,
LA00434326,MAJOR,Female,77,,,,,
LA00434051,MAJOR,Male,12,,,,,
LA00436568,MAJOR,Female,23,,,,,
LA00437548,MINOR,Male,47,,,,,
LA00437358,MINOR,Female,42,,,,,
LA00420744,MAJOR,Male,20,,,,,
LA00435451,HIGHWAYS ACT PERMITS,Male,21,,,,,
LA00433192,MAJOR,Male,20,,,,,
LA00437544,STANDARD,Male,49,,,,,
LA00434329,STANDARD,Female,5,,,,,
LA00436286,MAJOR,Female,32,,,,,
LA00436983,HIGHWAYS ACT PERMITS,Male,34,,,,,
LA00437063,MAJOR,Male,21,,,,,
LA00418372,HIGHWAYS ACT PERMITS,Male,44,,,,,
LA00434000,MINOR,Male,20,,,,,
LA00377633,HIGHWAYS ACT PERMITS,Male,21,,,,,
LA00433780,STANDARD,Female,22,,,,,
LA00435422,MAJOR,Male,23,,,,,
LA00435167,MAJOR,Female,36,,,,,
LA00397355,HIGHWAYS ACT PERMITS,Male,11,,,,,
LA00426125,HIGHWAYS ACT PERMITS,Female,42,,,,,
LA00436570,HIGHWAYS ACT PERMITS,Male,24,,,,,
LA00433820,HIGHWAYS ACT PERMITS,Female,69,,,,,
LA00429837,MAJOR,Female,48,,,,,
LA00420766,MAJOR,Male,52,,,,,
LA00421608,MAJOR,Female,22,,,,,
LA00429089,STANDARD,Female,43,,,,,
LA00435446,HIGHWAYS ACT PERMITS,Male,47,,,,,
LA00436258,MINOR,Female,34,,,,,
LA00428459,STANDARD,Male,28,,,,,
LA00437058,MINOR,Male,16,,,,,
LA00418358,MAJOR,Female,83,,,,,
LA00435769,MINOR,Male,22,,,,,
LA00432301,HIGHWAYS ACT PERMITS,Male,70,,,,,
LA00429277,HIGHWAYS ACT PERMITS,Male,36,,,,,
LA00435755,MAJOR,Male,45,,,,,
LA00429980,STANDARD,Male,35,,,,,
LA00432757,HIGHWAYS ACT PERMITS,Female,16,,,,,
LA00435307,STANDARD,Male,16,,,,,
LA00429064,STANDARD,Male,16,,,,,
LA00434627,HIGHWAYS ACT PERMITS,Female,16,,,,,
LA00433406,MAJOR,Male,32,,,,,
LA00436285,MAJOR,Female,71,,,,,
LA00433772,MINOR,Male,46,,,,,
LA00435467,MAJOR,Male,39,,,,,
LA00437397,HIGHWAYS ACT PERMITS,Male,27,,,,,
LA00412301,HIGHWAYS ACT PERMITS,Female,35,,,,,
LA00432157,HIGHWAYS ACT PERMITS,Male,17,,,,,
LA00437098,MAJOR,Female,19,,,,,
LA00433913,MAJOR,Male,23,,,,,
LA00437487,MAJOR,Female,12,,,,,
LA00435462,MINOR,Male,57,,,,,
LA00398970,MAJOR,Male,64,,,,,
LA00398497,HIGHWAYS ACT PERMITS,Female,65,,,,,
LA00434393,MINOR,Male,51,,,,,
LA00422429,MAJOR,Female,23,,,,,
LA00432112,MAJOR,Male,48,,,,,
LA00432931,HIGHWAYS ACT PERMITS,Male,45,,,,,
LA00436889,STANDARD,Female,36,,,,,
LA00432887,HIGHWAYS ACT PERMITS,Female,38,,,,,
LA00436686,HIGHWAYS ACT PERMITS,Female,19,,,,,
LA00436063,MAJOR,Male,19,,,,,
LA00437103,STANDARD,Male,32,,,,,
LA00428117,HIGHWAYS ACT PERMITS,Male,54,,,,,
LA00437777,STANDARD,Male,46,,,,,
LA00432546,MAJOR,Male,40,,,,,
LA00437806,HIGHWAYS ACT PERMITS,Female,42,,,,,
LA00427485,HIGHWAYS ACT PERMITS,Female,76,,,,,
LA00434863,MAJOR,Male,43,,,,,
LA00433069,HIGHWAYS ACT PERMITS,Female,50,,,,,
LA00426736,HIGHWAYS ACT PERMITS,Male,59,,,,,
LA00342547,HIGHWAYS ACT PERMITS,Male,16,,,,,
LA00433771,MAJOR,Female,40,,,,,
LA00433677,MAJOR,Female,85,,,,,
LA00424998,HIGHWAYS ACT PERMITS,Male,10,,,,,
LA00437405,HIGHWAYS ACT PERMITS,Male,19,,,,,
LA00397639,MAJOR,Male,33,,,,,
LA00428457,STANDARD,Male,34,,,,,
LA00436626,HIGHWAYS ACT PERMITS,Male,33,,,,,
LA00435304,STANDARD,Male,33,,,,,
LA00434551,MAJOR,Male,45,,,,,
LA00436687,MINOR,Male,30,,,,,
LA00436676,STANDARD,Female,37,,,,,
LA00436744,MINOR,Male,42,,,,,
LA00437065,MAJOR,Male,65,,,,,
LA00437056,MAJOR,Female,28,,,,,
LA00435908,MAJOR,Male,29,,,,,
LA00336314,HIGHWAYS ACT PERMITS,Male,4,,,,,
LA00437106,STANDARD,Male,34,,,,,
LA00436436,HIGHWAYS ACT PERMITS,Female,20,,,,,
LA00436844,MAJOR,Male,24,,,,,
LA00432869,MAJOR,Male,41,,,,,
LA00339141,HIGHWAYS ACT PERMITS,Male,23,,,,,
LA00437108,HIGHWAYS ACT PERMITS,Male,90,,,,,
LA00434494,MINOR,Female,19,,,,,
LA00398932,MAJOR,Male,20,,,,,
LA00433709,MINOR,Male,29,,,,,
LA00428676,HIGHWAYS ACT PERMITS,Male,23,,,,,
LA00432755,HIGHWAYS ACT PERMITS,Male,18,,,,,
LA00420765,MAJOR,Female,24,,,,,
LA00435251,MAJOR,Female,19,,,,,
LA00424292,HIGHWAYS ACT PERMITS,Male,41,,,,,
LA00418365,MAJOR,Male,35,,,,,
LA00436364,ROAD RESTRICTION,Male,64,,,,,
LA00432519,STANDARD,Male,43,,,,,
LA00435412,MAJOR,Male,52,,,,,
LA00432221,MAJOR,Male,30,,,,,
LA00432216,MAJOR,Female,18,,,,,
LA00430932,MAJOR,Male,45,,,,,
LA00432294,HIGHWAYS ACT PERMITS,Female,43,,,,,
LA00420051,HIGHWAYS ACT PERMITS,Female,18,,,,,
LA00431333,HIGHWAYS ACT PERMITS,Female,50,,,,,
LA00437556,MINOR,Male,55,,,,,
LA00431625,HIGHWAYS ACT PERMITS,Female,76,,,,,
LA00436190,HIGHWAYS ACT PERMITS,Male,45,,,,,
LA00435662,MAJOR,Male,39,,,,,
LA00428623,MAJOR,Male,48,,,,,
LA00437404,HIGHWAYS ACT PERMITS,Male,51,,,,,
LA00433403,MAJOR,Female,28,,,,,
LA00426656,HIGHWAYS ACT PERMITS,Male,39,,,,,
LA00437619,HIGHWAYS ACT PERMITS,Male,51,,,,,
LA00435301,MINOR,Female,76,,,,,
LA00395748,MAJOR,Male,83,,,,,
LA00436017,STANDARD,Female,81,,,,,
LA00435862,MAJOR,Female,79,,,,,
LA00434537,MAJOR,Female,19,,,,,
LA00434893,STANDARD,Female,21,,,,,
LA00432042,MAJOR,Female,20,,,,,
LA00435440,MAJOR,Female,23,,,,,
LA00425250,MAJOR,Female,35,,,,,
LA00434610,MAJOR,Female,38,,,,,
LA00435413,MAJOR,Female,5,,,,,
LA00424590,HIGHWAYS ACT PERMITS,Female,19,,,,,
LA00436507,STANDARD,Female,50,,,,,
LA00436311,HIGHWAYS ACT PERMITS,Male,45,,,,,
LA00432326,MAJOR,Female,50,,,,,
LA00436290,STANDARD,Male,18,,,,,
LA00339259,HIGHWAYS ACT PERMITS,Male,45,,,,,
LA00389943,HIGHWAYS ACT PERMITS,Male,13,,,,,
LA00429336,HIGHWAYS ACT PERMITS,Female,81,,,,,
LA00429092,MAJOR,Male,30,,,,,
LA00437809,HIGHWAYS ACT PERMITS,Male,22,,,,,
LA00434855,MAJOR,Male,24,,,,,
LA00436071,MAJOR,Female,31,,,,,
LA00437402,MINOR,Male,19,,,,,
LA00435487,STANDARD,Male,22,,,,,
LA00434905,MAJOR,Male,42,,,,,
LA00435228,HIGHWAYS ACT PERMITS,Female,43,,,,,
LA00431398,STANDARD,Male,20,,,,,
LA00388836,MAJOR,Male,9,,,,,
LA00402659,MAJOR,Male,25,,,,,
LA00420437,HIGHWAYS ACT PERMITS,Male,24,,,,,
LA00434327,MAJOR,Female,19,,,,,
LA00433818,MAJOR,Female,18,,,,,
LA00429063,STANDARD,Female,15,,,,,
LA00433465,HIGHWAYS ACT PERMITS,Male,15,,,,,
LA00436496,STANDARD,Male,58,,,,,
LA00375749,HIGHWAYS ACT PERMITS,Male,12,,,,,
LA00432537,HIGHWAYS ACT PERMITS,Male,21,,,,,
LA00433687,MAJOR,Female,52,,,,,
LA00433785,MAJOR,Female,18,,,,,
LA00427403,HIGHWAYS ACT PERMITS,Male,28,,,,,
LA00437396,HIGHWAYS ACT PERMITS,Female,28,,,,,
LA00433401,HIGHWAYS ACT PERMITS,Female,22,,,,,
LA00433548,HIGHWAYS ACT PERMITS,Male,50,,,,,
LA00435432,MAJOR,Male,25,,,,,
LA00435437,HIGHWAYS ACT PERMITS,Male,43,,,,,
LA00434538,MAJOR,Male,40,,,,,
LA00434401,HIGHWAYS ACT PERMITS,Male,34,,,,,
LA00429926,HIGHWAYS ACT PERMITS,Female,29,,,,,
LA00433683,MAJOR,Female,70,,,,,
LA00431931,MINOR,Male,59,,,,,
LA00437561,STANDARD,Female,45,,,,,
LA00432753,HIGHWAYS ACT PERMITS,Male,43,,,,,
LA00426421,HIGHWAYS ACT PERMITS,Female,31,,,,,
LA00433516,HIGHWAYS ACT PERMITS,Male,28,,,,,
LA00428458,STANDARD,Male,41,,,,,
LA00436843,MAJOR,Female,57,,,,,
LA00435435,HIGHWAYS ACT PERMITS,Female,13,,,,,
LA00422653,MAJOR,Female,9,,,,,
LA00436297,STANDARD,Female,82,,,,,
LA00411091,HIGHWAYS ACT PERMITS,Female,20,,,,,
LA00437502,MINOR,Female,30,,,,,
LA00435201,HIGHWAYS ACT PERMITS,Male,36,,,,,
LA00436015,MAJOR,Female,30,,,,,
LA00436292,STANDARD,Male,47,,,,,
