Local Authority Reference,Works Type,Casualty Class,Casualty Severity,FULLNAME,WORKTYPE_DESCRIPTION,Direction,CountyCode,DistrictNumber
LA00435678,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,UNI,6
LA00436111,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ATH,10
LA00435754,MAJOR,Driver,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,PIK,9
LA00329315,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",WESTBOUND,MOE,10
LA00435682,MAJOR,Passenger,Slight,Louisville Gas & Electric,"Excavation, Lane Closure",SOUTHBOUND,LUC,2
LA00437446,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,Lane Closure,BOTH DIRECTIONS,COL,11
LA00437269,MAJOR,Pedestrian,Serious,,Lane Closure,BOTH DIRECTIONS,BEL,11
LA00401782,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,CLA,7
LA00428113,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,MOT,7
LA00436272,STANDARD,Passenger,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,CLA,7
LA00415664,HIGHWAYS ACT PERMITS,Driver,Serious,,"Excavation, Lane Closure",BOTH DIRECTIONS,LAW,9
LA00437162,MINOR,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,LAW,9
LA00437070,MAJOR,Driver,Serious,,Lane Closure,BOTH DIRECTIONS,VAN,1
LA00435447,STANDARD,Driver,Serious,,Lane Closure,BOTH DIRECTIONS,CUY,12
LA00430423,MAJOR,Pedestrian,Serious,,"Excavation, Lane Closure",EASTBOUND,CUY,12
LA00435997,MAJOR,Driver,Serious,,"Excavation, Lane Closure",BOTH DIRECTIONS,ATH,10
LA00398180,HIGHWAYS ACT PERMITS,Passenger,Serious,VELTMAN JANICE K,Lane Closure,BOTH DIRECTIONS,MED,3
LA00434546,MINOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,GRE,8
LA00433070,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Water Company,Road Closure,BOTH DIRECTIONS,PAU,1
LA00433408,MAJOR,Driver,Slight,HDR,Road Closure,SOUTHBOUND,FRA,6
LA00436982,HIGHWAYS ACT PERMITS,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,GUE,5
LA00434603,MAJOR,Passenger,Slight,Terracon Consultants,Lane Closure,WESTBOUND,ATH,10
LA00425287,HIGHWAYS ACT PERMITS,Passenger,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,SCI,9
LA00436504,STANDARD,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,HIG,9
LA00434903,MAJOR,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,SUM,4
LA00397054,MINOR,Passenger,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,TUS,11
LA00411741,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Excavation, Lane Closure",SOUTHBOUND,LUC,2
LA00434744,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,POR,4
LA00433054,MAJOR,Driver,Slight,,Lane Closure,SOUTHBOUND,WOO,2
LA00435763,MAJOR,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,ERI,3
LA00435449,HIGHWAYS ACT PERMITS,Driver,Slight,,Road Closure,BOTH DIRECTIONS,BEL,11
LA00433068,HIGHWAYS ACT PERMITS,Passenger,Slight,,Road Closure,EASTBOUND,ERI,3
LA00437633,HIGHWAYS ACT PERMITS,Passenger,Slight,Sara Galvin,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00432752,HIGHWAYS ACT PERMITS,Passenger,Slight,PrimeTech Communications Inc,Lane Closure,BOTH DIRECTIONS,SCI,9
LA00436192,HIGHWAYS ACT PERMITS,Pedestrian,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure",EASTBOUND,HOC,10
LA00388834,MAJOR,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,HAS,11
LA00434396,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,GUE,5
LA00437778,HIGHWAYS ACT PERMITS,Passenger,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",SOUTHBOUND,CUY,12
LA00433350,MAJOR,Pedestrian,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAS,11
LA00436896,MINOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",WESTBOUND,STA,4
LA00424401,MINOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,MOE,10
LA00429897,MINOR,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,HAM,8
LA00433460,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,WAR,8
LA00434501,STANDARD,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,JEF,11
LA00434098,MAJOR,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,ALL,1
LA00422490,MAJOR,Passenger,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Utility Cut",WESTBOUND,ATH,10
LA00418363,MAJOR,Pedestrian,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,FRA,6
LA00425290,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,Lane Closure,NORTHBOUND,SUM,4
LA00429930,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,NORTHBOUND,MEG,10
LA00431624,HIGHWAYS ACT PERMITS,Pedestrian,Serious,Louisville Gas & Electric,Lane Closure,NORTHBOUND,MOE,10
LA00435681,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SUM,4
LA00431549,HIGHWAYS ACT PERMITS,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,BUT,8
LA00394407,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,COS,5
LA00435768,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,STA,4
LA00437631,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAM,8
LA00436299,STANDARD,Passenger,Slight,,"Lane Closure, Sidewalk Closure",EASTBOUND,SUM,4
LA00432711,HIGHWAYS ACT PERMITS,Pedestrian,Serious,Louisville Gas & Electric,Lane Closure,NORTHBOUND,FRA,6
LA00434693,STANDARD,Driver,Slight,OPS PLUS (contractor for Spectrum),"Excavation, Lane Closure",BOTH DIRECTIONS,ATB,4
LA00435684,HIGHWAYS ACT PERMITS,Pedestrian,Slight,Jordan Hexom,Utility Cut,BOTH DIRECTIONS,STA,4
LA00432435,MAJOR,Pedestrian,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,WAR,8
LA00433111,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,SOUTHBOUND,LUC,2
LA00433360,MAJOR,Passenger,Slight,Jordan Hexom,"Excavation, Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,LOR,3
LA00431387,MAJOR,Pedestrian,Serious,,Lane Closure,BOTH DIRECTIONS,CUY,12
LA00429489,HIGHWAYS ACT PERMITS,Pedestrian,Serious,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,WAS,10
LA00437486,MINOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,MOT,7
LA00435044,MAJOR,Driver,Slight,,Lane Closure,NORTHBOUND,MOE,10
LA00435991,MAJOR,Passenger,Slight,Tilson Technology Management,Lane Closure,BOTH DIRECTIONS,WAS,10
LA00433763,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure",SOUTHBOUND,SUM,4
LA00437724,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,BRO,9
LA00435578,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,LAK,12
LA00421999,MAJOR,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HIG,9
LA00435466,MAJOR,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure",BOTH DIRECTIONS,HOL,11
LA00426210,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,"Excavation, Lane Closure",BOTH DIRECTIONS,JEF,11
LA00431323,MINOR,Pedestrian,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,BEL,11
LA00429279,HIGHWAYS ACT PERMITS,Passenger,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,HAM,8
LA00434973,MINOR,Pedestrian,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,SCI,9
LA00388854,MAJOR,Pedestrian,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00437554,STANDARD,Driver,Slight,,"Excavation, Lane Closure, Sidewalk Closure",NORTHBOUND,GRE,8
LA00375139,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,WAS,10
LA00435589,HIGHWAYS ACT PERMITS,Driver,Serious,Louisville Gas & Electric,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,MRG,10
LA00394405,MAJOR,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,HAM,8
LA00427428,STANDARD,Driver,Serious,Louisville Gas & Electric,"Curb Cut, Excavation, Lane Closure",BOTH DIRECTIONS,HAM,8
LA00433779,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,LAK,12
LA00418370,MAJOR,Passenger,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,CUY,12
LA00434291,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,OTT,2
LA00436288,MINOR,Passenger,Slight,,,BOTH DIRECTIONS,CUY,12
LA00432043,MAJOR,Pedestrian,Slight,,,BOTH DIRECTIONS,CRA,3
LA00435486,STANDARD,Pedestrian,Slight,,,BOTH DIRECTIONS,STA,4
LA00436141,ROAD RESTRICTION,Pedestrian,Slight,,,BOTH DIRECTIONS,STA,4
LA00428167,HIGHWAYS ACT PERMITS,Driver,Slight,,,WESTBOUND,SCI,9
LA00432709,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,NORTHBOUND,CUY,12
LA00435012,MAJOR,Driver,Slight,,,WESTBOUND,CUY,12
LA00436946,STANDARD,Passenger,Slight,,,BOTH DIRECTIONS,HAM,8
LA00433059,HIGHWAYS ACT PERMITS,Driver,Slight,,,BOTH DIRECTIONS,COS,5
LA00436624,HIGHWAYS ACT PERMITS,Driver,Slight,,,WESTBOUND,ERI,3
LA00435225,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,VIN,10
LA00435473,MINOR,Passenger,Slight,,,BOTH DIRECTIONS,STA,4
LA00435442,STANDARD,Driver,Slight,,,BOTH DIRECTIONS,SUM,4
LA00400148,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,HAR,1
LA00423418,MAJOR,Pedestrian,Slight,,,BOTH DIRECTIONS,PUT,1
LA00430735,HIGHWAYS ACT PERMITS,Driver,Slight,,,SOUTHBOUND,JEF,11
LA00437178,HIGHWAYS ACT PERMITS,Passenger,Serious,,,NORTHBOUND,HAN,1
LA00436044,STANDARD,Passenger,Slight,,,BOTH DIRECTIONS,PIK,9
LA00436069,MAJOR,Driver,Slight,,,BOTH DIRECTIONS,BEL,11
LA00436493,MAJOR,Driver,Slight,,,WESTBOUND,MOE,10
LA00437744,MAJOR,Driver,Slight,,,WESTBOUND,CUY,12
LA00421622,MAJOR,Driver,Slight,,,EASTBOUND,WAS,10
LA00435308,MINOR,Driver,Slight,,,BOTH DIRECTIONS,AUG,7
LA00437743,STANDARD,Pedestrian,Slight,,,BOTH DIRECTIONS,HAM,8
LA00436142,ROAD RESTRICTION,Pedestrian,Slight,,,BOTH DIRECTIONS,HAM,8
LA00422080,HIGHWAYS ACT PERMITS,Driver,Slight,,,BOTH DIRECTIONS,SCI,9
LA00426206,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,JEF,11
LA00436191,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,MUS,5
LA00436497,STANDARD,Passenger,Slight,,,BOTH DIRECTIONS,VIN,10
LA00436303,MAJOR,Passenger,Slight,,,BOTH DIRECTIONS,CUY,12
LA00436494,STANDARD,Passenger,Slight,,,BOTH DIRECTIONS,SUM,4
LA00437505,MINOR,Driver,Slight,,,WESTBOUND,FRA,6
LA00437051,MAJOR,Passenger,Slight,,,BOTH DIRECTIONS,HAM,8
LA00329314,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,BOTH DIRECTIONS,WAY,3
LA00422244,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,BOTH DIRECTIONS,ROS,9
LA00433915,MAJOR,Passenger,Slight,,,EASTBOUND,CLA,7
LA00429066,STANDARD,Driver,Slight,,,BOTH DIRECTIONS,PIK,9
LA00433711,MAJOR,Pedestrian,Slight,,,BOTH DIRECTIONS,SCI,9
LA00398695,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,MOT,7
LA00430424,MINOR,Driver,Slight,,,WESTBOUND,HAM,8
LA00430613,STANDARD,Pedestrian,Slight,,,WESTBOUND,LOR,3
LA00434936,MINOR,Pedestrian,Serious,,,WESTBOUND,OTT,2
LA00429057,STANDARD,Driver,Slight,,,BOTH DIRECTIONS,AUG,7
LA00429901,MINOR,Driver,Slight,,,BOTH DIRECTIONS,SCI,9
LA00435459,MAJOR,Passenger,Slight,,,BOTH DIRECTIONS,COL,11
LA00436984,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,,BOTH DIRECTIONS,MAH,4
LA00437403,HIGHWAYS ACT PERMITS,Driver,Slight,,,WESTBOUND,LOR,3
LA00427426,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,LUC,2
LA00426294,HIGHWAYS ACT PERMITS,Driver,Serious,,,BOTH DIRECTIONS,WAY,3
LA00342544,HIGHWAYS ACT PERMITS,Driver,Slight,,,BOTH DIRECTIONS,COL,11
LA00398179,HIGHWAYS ACT PERMITS,Passenger,Slight,,,NORTHBOUND,MOE,10
LA00435993,STANDARD,Passenger,Serious,,,EASTBOUND,MRG,10
LA00429931,HIGHWAYS ACT PERMITS,Passenger,Slight,,,BOTH DIRECTIONS,CUY,12
LA00434545,MAJOR,Driver,Slight,,,NORTHBOUND,CUY,12
LA00435992,MAJOR,Driver,Slight,,,WESTBOUND,ERI,3
LA00436197,MAJOR,Passenger,Slight,,,BOTH DIRECTIONS,JAC,9
LA00437240,MAJOR,Driver,Slight,,,NORTHBOUND,WOO,2
LA00342550,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,SOUTHBOUND,FRA,6
LA00437334,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,BOTH DIRECTIONS,MOE,10
LA00429883,STANDARD,Driver,Serious,,,BOTH DIRECTIONS,AUG,7
LA00429978,MAJOR,Driver,Slight,,,BOTH DIRECTIONS,COL,11
LA00399413,HIGHWAYS ACT PERMITS,Driver,Slight,,,BOTH DIRECTIONS,SUM,4
LA00402793,HIGHWAYS ACT PERMITS,Driver,Slight,,,BOTH DIRECTIONS,SUM,4
LA00432763,MAJOR,Driver,Slight,,,BOTH DIRECTIONS,HAS,11
LA00429335,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,BOTH DIRECTIONS,LUC,2
LA00437069,MAJOR,Pedestrian,Slight,,,BOTH DIRECTIONS,MAH,4
LA00429305,MAJOR,Pedestrian,Slight,,,BOTH DIRECTIONS,JEF,11
LA00428076,HIGHWAYS ACT PERMITS,Driver,Slight,,,BOTH DIRECTIONS,GRE,8
LA00437547,MINOR,Driver,Fatal,,,BOTH DIRECTIONS,ATH,10
LA00437735,STANDARD,Passenger,Slight,,,BOTH DIRECTIONS,CAR,11
LA00434611,MAJOR,Driver,Slight,,,,,
LA00398177,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00435988,MAJOR,Driver,Slight,,,,,
LA00381738,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00436512,STANDARD,Driver,Slight,,,,,
LA00431455,MAJOR,Driver,Slight,,,,,
LA00409937,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00428121,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00433511,MAJOR,Driver,Slight,,,,,
LA00437716,STANDARD,Driver,Slight,,,,,
LA00434900,MAJOR,Passenger,Slight,,,,,
LA00434615,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00436488,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00436458,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00437105,STANDARD,Passenger,Slight,,,,,
LA00399087,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00426418,HIGHWAYS ACT PERMITS,Driver,Serious,,,,,
LA00436291,STANDARD,Passenger,Serious,,,,,
LA00424322,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00437560,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00437570,MINOR,Driver,Slight,,,,,
LA00425293,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00432747,MAJOR,Driver,Slight,,,,,
LA00428078,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00430431,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00331735,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00437107,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00437620,MAJOR,Driver,Slight,,,,,
LA00429560,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00437052,STANDARD,Passenger,Slight,,,,,
LA00436059,STANDARD,Passenger,Serious,,,,,
LA00434933,STANDARD,Passenger,Slight,,,,,
LA00428675,MINOR,Driver,Slight,,,,,
LA00434681,STANDARD,Pedestrian,Slight,,,,,
LA00437337,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,,,,
LA00433060,MAJOR,Driver,Slight,,,,,
LA00424107,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00420436,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,,,,
LA00428456,STANDARD,Driver,Slight,,,,,
LA00432300,MAJOR,Driver,Slight,,,,,
LA00436429,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00436635,MAJOR,Driver,Slight,,,,,
LA00402276,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00437573,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00435860,MAJOR,Pedestrian,Slight,,,,,
LA00433992,STANDARD,Passenger,Slight,,,,,
LA00424570,STANDARD,Driver,Slight,,,,,
LA00426423,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00433317,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00436068,MAJOR,Pedestrian,Serious,,,,,
LA00397645,MAJOR,Driver,Slight,,,,,
LA00437495,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00422245,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00417438,MINOR,Passenger,Slight,,,,,
LA00437807,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00429602,MAJOR,Passenger,Slight,,,,,
LA00436985,HIGHWAYS ACT PERMITS,Driver,Serious,,,,,
LA00432513,STANDARD,Driver,Slight,,,,,
LA00435441,MAJOR,Passenger,Slight,,,,,
LA00420052,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00436450,MAJOR,Driver,Slight,,,,,
LA00434901,MAJOR,Driver,Serious,,,,,
LA00427817,MAJOR,Pedestrian,Slight,,,,,
LA00436940,STANDARD,Driver,Slight,,,,,
LA00432764,MINOR,Driver,Serious,,,,,
LA00436298,STANDARD,Driver,Slight,,,,,
LA00433536,MAJOR,Driver,Slight,,,,,
LA00428112,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00437071,MAJOR,Driver,Slight,,,,,
LA00434326,MAJOR,Pedestrian,Slight,,,,,
LA00434051,MAJOR,Passenger,Slight,,,,,
LA00436568,MAJOR,Driver,Slight,,,,,
LA00437548,MINOR,Driver,Serious,,,,,
LA00437358,MINOR,Passenger,Slight,,,,,
LA00420744,MAJOR,Driver,Slight,,,,,
LA00435451,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00433192,MAJOR,Passenger,Slight,,,,,
LA00437544,STANDARD,Driver,Slight,,,,,
LA00434329,STANDARD,Pedestrian,Serious,,,,,
LA00436286,MAJOR,Passenger,Slight,,,,,
LA00436983,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00437063,MAJOR,Driver,Slight,,,,,
LA00418372,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00434000,MINOR,Passenger,Serious,,,,,
LA00377633,HIGHWAYS ACT PERMITS,Passenger,Serious,,,,,
LA00433780,STANDARD,Passenger,Serious,,,,,
LA00435422,MAJOR,Passenger,Slight,,,,,
LA00435167,MAJOR,Passenger,Slight,,,,,
LA00397355,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,,,,
LA00426125,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00436570,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00433820,HIGHWAYS ACT PERMITS,Driver,Serious,,,,,
LA00429837,MAJOR,Driver,Slight,,,,,
LA00420766,MAJOR,Driver,Slight,,,,,
LA00421608,MAJOR,Driver,Slight,,,,,
LA00429089,STANDARD,Passenger,Slight,,,,,
LA00435446,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00436258,MINOR,Driver,Slight,,,,,
LA00428459,STANDARD,Driver,Slight,,,,,
LA00437058,MINOR,Driver,Serious,,,,,
LA00418358,MAJOR,Passenger,Slight,,,,,
LA00435769,MINOR,Pedestrian,Serious,,,,,
LA00432301,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00429277,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00435755,MAJOR,Driver,Slight,,,,,
LA00429980,STANDARD,Driver,Slight,,,,,
LA00432757,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00435307,STANDARD,Passenger,Slight,,,,,
LA00429064,STANDARD,Passenger,Slight,,,,,
LA00434627,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00433406,MAJOR,Passenger,Slight,,,,,
LA00436285,MAJOR,Driver,Serious,,,,,
LA00433772,MINOR,Passenger,Slight,,,,,
LA00435467,MAJOR,Driver,Serious,,,,,
LA00437397,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00412301,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00432157,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00437098,MAJOR,Driver,Slight,,,,,
LA00433913,MAJOR,Driver,Slight,,,,,
LA00437487,MAJOR,Pedestrian,Slight,,,,,
LA00435462,MINOR,Pedestrian,Slight,,,,,
LA00398970,MAJOR,Driver,Slight,,,,,
LA00398497,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00434393,MINOR,Driver,Slight,,,,,
LA00422429,MAJOR,Driver,Slight,,,,,
LA00432112,MAJOR,Pedestrian,Slight,,,,,
LA00432931,HIGHWAYS ACT PERMITS,Driver,Serious,,,,,
LA00436889,STANDARD,Driver,Slight,,,,,
LA00432887,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00436686,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00436063,MAJOR,Driver,Slight,,,,,
LA00437103,STANDARD,Driver,Slight,,,,,
LA00428117,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00437777,STANDARD,Driver,Slight,,,,,
LA00432546,MAJOR,Driver,Slight,,,,,
LA00437806,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00427485,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00434863,MAJOR,Driver,Slight,,,,,
LA00433069,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00426736,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00342547,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00433771,MAJOR,Driver,Slight,,,,,
LA00433677,MAJOR,Passenger,Slight,,,,,
LA00424998,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00437405,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00397639,MAJOR,Driver,Slight,,,,,
LA00428457,STANDARD,Passenger,Slight,,,,,
LA00436626,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
LA00435304,STANDARD,Passenger,Slight,,,,,
LA00434551,MAJOR,Driver,Slight,,,,,
LA00436687,MINOR,Driver,Slight,,,,,
LA00436676,STANDARD,Driver,Slight,,,,,
LA00436744,MINOR,Driver,Slight,,,,,
LA00437065,MAJOR,Passenger,Slight,,,,,
LA00437056,MAJOR,Pedestrian,Slight,,,,,
LA00435908,MAJOR,Passenger,Slight,,,,,
LA00336314,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00437106,STANDARD,Passenger,Slight,,,,,
LA00436436,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00436844,MAJOR,Driver,Slight,,,,,
LA00432869,MAJOR,Driver,Slight,,,,,
LA00339141,HIGHWAYS ACT PERMITS,Driver,Serious,,,,,
LA00437108,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,,,,
LA00434494,MINOR,Driver,Slight,,,,,
LA00398932,MAJOR,Passenger,Slight,,,,,
LA00433709,MINOR,Pedestrian,Serious,,,,,
LA00428676,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00432755,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00420765,MAJOR,Driver,Slight,,,,,
LA00435251,MAJOR,Driver,Slight,,,,,
LA00424292,HIGHWAYS ACT PERMITS,Driver,Slight,,,,,
LA00418365,MAJOR,Driver,Slight,,,,,
LA00436364,ROAD RESTRICTION,Driver,Slight,,,,,
LA00432519,STANDARD,Driver,Slight,,,,,
LA00435412,MAJOR,Driver,Slight,,,,,
LA00432221,MAJOR,Driver,Slight,,,,,
LA00432216,MAJOR,Passenger,Slight,,,,,
LA00430932,MAJOR,Driver,Slight,,,,,
LA00432294,HIGHWAYS ACT PERMITS,Passenger,Slight,,,,,
