Local Authority Reference,Works Status,Works Type,Category Of Works,Accident Ref No.,Casualty Class
LA00436141,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10CA0001060,Pedestrian
LA00428167,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001595,Driver
LA00432709,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001155,Pedestrian
LA00435012,PROPOSED WORKS,MAJOR,Streetworks,10AA0001155,Driver
LA00436946,WORKS ABANDONED,STANDARD,Streetworks,10BA0001172,Passenger
LA00433059,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001181,Driver
LA00436624,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001476,Driver
LA00435225,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001476,Passenger
LA00435473,PROPOSED WORKS,MINOR,Streetworks,10CA0001476,Passenger
LA00435442,PROPOSED WORKS,STANDARD,Streetworks,10CA0001752,Driver
LA00400148,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001752,Passenger
LA00423418,IN PROGRESS,MAJOR,Streetworks,10AA0001149,Pedestrian
LA00430735,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001190,Driver
LA00437178,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001190,Passenger
LA00436044,WORKS ABANDONED,STANDARD,Streetworks,10BA0001190,Passenger
LA00436069,PROPOSED WORKS,MAJOR,Streetworks,10BA0001335,Driver
LA00436493,PROPOSED WORKS,MAJOR,Streetworks,10BA0001335,Driver
LA00437744,PROPOSED WORKS,MAJOR,Streetworks,10CA0001175,Driver
LA00421622,WORKS ABANDONED,MAJOR,Streetworks,10CA0001920,Driver
LA00435308,PROPOSED WORKS,MINOR,Streetworks,10AA0001209,Driver
LA00437743,PROPOSED WORKS,STANDARD,Streetworks,10AA0001701,Pedestrian
LA00436142,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10CA0001262,Pedestrian
LA00422080,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001329,Driver
LA00426206,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001329,Passenger
LA00436191,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001329,Passenger
LA00436497,PROPOSED WORKS,STANDARD,Streetworks,10CA0001329,Passenger
LA00436303,WORKS ABANDONED,MAJOR,Streetworks,10CA0001329,Passenger
LA00436494,PROPOSED WORKS,STANDARD,Streetworks,10CA0001329,Passenger
LA00437505,PROPOSED WORKS,MINOR,Streetworks,10AA0001236,Driver
LA00437051,PROPOSED WORKS,MAJOR,Streetworks,10AA0001267,Passenger
LA00329314,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001222,Pedestrian
LA00422244,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001222,Pedestrian
LA00433915,PROPOSED WORKS,MAJOR,Streetworks,10CA0001271,Passenger
LA00429066,PROPOSED WORKS,STANDARD,Streetworks,10CA0001300,Driver
LA00433711,PROPOSED WORKS,MAJOR,Streetworks,10CA0001413,Pedestrian
LA00398695,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0001215,Passenger
LA00430424,PROPOSED WORKS,MINOR,Streetworks,10MU0001289,Driver
LA00430613,PROPOSED WORKS,STANDARD,Streetworks,10AA0001235,Pedestrian
LA00434936,WORKS ABANDONED,MINOR,Streetworks,10AA0001446,Pedestrian
LA00429057,PROPOSED WORKS,STANDARD,Streetworks,10CA0001322,Driver
LA00429901,PROPOSED WORKS,MINOR,Streetworks,10CA0001333,Driver
LA00435459,PROPOSED WORKS,MAJOR,Streetworks,10CA0001333,Passenger
LA00436984,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001326,Pedestrian
LA00437403,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10MU0001261,Driver
LA00427426,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001328,Passenger
LA00426294,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10MU0001281,Driver
LA00342544,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0001361,Driver
LA00398179,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0001361,Passenger
LA00435993,PROPOSED WORKS,STANDARD,Streetworks,10MU0001361,Passenger
LA00429931,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0001361,Passenger
LA00434545,PROPOSED WORKS,MAJOR,Streetworks,10MU0001319,Driver
LA00435992,PROPOSED WORKS,MAJOR,Streetworks,10MU0001319,Driver
LA00436197,PROPOSED WORKS,MAJOR,Streetworks,10MU0001319,Passenger
LA00437240,PROPOSED WORKS,MAJOR,Streetworks,10AA0001350,Driver
LA00342550,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001531,Pedestrian
LA00437334,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002067,Pedestrian
LA00429883,PROPOSED WORKS,STANDARD,Streetworks,10CA0001400,Driver
LA00429978,WORKS ABANDONED,MAJOR,Streetworks,10AA0001362,Driver
LA00399413,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001437,Driver
LA00402793,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001375,Driver
LA00432763,PROPOSED WORKS,MAJOR,Streetworks,10CA0001445,Driver
LA00429335,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001458,Pedestrian
LA00437069,PROPOSED WORKS,MAJOR,Streetworks,10AA0001396,Pedestrian
LA00429305,PROPOSED WORKS,MAJOR,Streetworks,10AA0001434,Pedestrian
LA00428076,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10AA0001676,Driver
LA00437547,PROPOSED WORKS,MINOR,Streetworks,10AA0082105,Driver
LA00437735,PROPOSED WORKS,STANDARD,Streetworks,10BA0001411,Passenger
LA00434611,PROPOSED WORKS,MAJOR,Streetworks,10BA0002459,Driver
LA00398177,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001408,Passenger
LA00435988,PROPOSED WORKS,MAJOR,Streetworks,10CA0001417,Driver
LA00381738,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001443,Passenger
LA00436512,PROPOSED WORKS,STANDARD,Streetworks,10CA0001443,Driver
LA00431455,PROPOSED WORKS,MAJOR,Streetworks,10CA0001443,Driver
LA00409937,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001397,Driver
LA00428121,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001622,Driver
LA00433511,PROPOSED WORKS,MAJOR,Streetworks,10CA0001452,Driver
LA00437716,PROPOSED WORKS,STANDARD,Streetworks,10CA0001459,Driver
LA00434900,PROPOSED WORKS,MAJOR,Streetworks,10CA0001459,Passenger
LA00434615,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001716,Passenger
LA00436488,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001435,Driver
LA00436458,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001435,Passenger
LA00437105,PROPOSED WORKS,STANDARD,Streetworks,10AA0001435,Passenger
LA00399087,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001438,Driver
LA00426418,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001532,Driver
LA00436291,PROPOSED WORKS,STANDARD,Streetworks,10AA0001532,Passenger
LA00424322,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001433,Pedestrian
LA00437560,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001454,Driver
LA00437570,PROPOSED WORKS,MINOR,Streetworks,10BA0001454,Driver
LA00425293,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001454,Passenger
LA00432747,PROPOSED WORKS,MAJOR,Streetworks,10CA0001620,Driver
LA00428078,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10AA0001453,Driver
LA00430431,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001453,Passenger
LA00331735,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001453,Passenger
LA00437107,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001453,Passenger
LA00437620,PROPOSED WORKS,MAJOR,Streetworks,10BA0001845,Driver
LA00429560,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001845,Driver
LA00437052,PROPOSED WORKS,STANDARD,Streetworks,10BA0001845,Passenger
LA00436059,WORKS ABANDONED,STANDARD,Streetworks,10BA0001845,Passenger
LA00434933,PROPOSED WORKS,STANDARD,Streetworks,10BA0001845,Passenger
LA00428675,PROPOSED WORKS,MINOR,Streetworks,10CA0001456,Driver
LA00434681,PROPOSED WORKS,STANDARD,Streetworks,10CA0001456,Pedestrian
LA00437337,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001754,Pedestrian
LA00433060,PROPOSED WORKS,MAJOR,Streetworks,10CA0001515,Driver
LA00424107,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001552,Driver
LA00420436,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001570,Pedestrian
LA00428456,PROPOSED WORKS,STANDARD,Streetworks,10AA0001577,Driver
LA00432300,WORKS ABANDONED,MAJOR,Streetworks,10AA0001626,Driver
LA00436429,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001638,Pedestrian
LA00436635,PROPOSED WORKS,MAJOR,Streetworks,10BA0001602,Driver
LA00402276,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001605,Passenger
LA00437573,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001623,Driver
LA00435860,PROPOSED WORKS,MAJOR,Streetworks,10BA0001625,Pedestrian
LA00433992,PROPOSED WORKS,STANDARD,Streetworks,10CA0001567,Passenger
LA00424570,PROPOSED WORKS,STANDARD,Streetworks,10CA0001709,Driver
LA00426423,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001709,Driver
LA00433317,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001548,Passenger
LA00436068,PROPOSED WORKS,MAJOR,Streetworks,10AA0001635,Pedestrian
LA00397645,PROPOSED WORKS,MAJOR,Streetworks,10BA0001535,Driver
LA00437495,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Building Licence,10BA0001689,Driver
LA00422245,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001689,Passenger
LA00417438,PROPOSED WORKS,MINOR,Streetworks,10BA0001689,Passenger
LA00437807,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10CA0001576,Driver
LA00429602,PROPOSED WORKS,MAJOR,Streetworks,10CA0001576,Passenger
LA00436985,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0001656,Driver
LA00432513,PROPOSED WORKS,STANDARD,Streetworks,10AA0001598,Driver
LA00435441,PROPOSED WORKS,MAJOR,Streetworks,10AA0001598,Passenger
LA00420052,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10AA0001598,Passenger
LA00436450,PROPOSED WORKS,MAJOR,Streetworks,10AA0001614,Driver
LA00434901,PROPOSED WORKS,MAJOR,Streetworks,10AA0001630,Driver
LA00427817,POTENTIAL WORKS,MAJOR,Streetworks,10BA0001673,Pedestrian
LA00436940,WORKS ABANDONED,STANDARD,Streetworks,10BA0001685,Driver
LA00432764,PROPOSED WORKS,MINOR,Streetworks,10CA0001596,Driver
LA00436298,PROPOSED WORKS,STANDARD,Streetworks,10CA0001672,Driver
LA00433536,PROPOSED WORKS,MAJOR,Streetworks,10CA0001758,Driver
LA00428112,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001621,Driver
LA00437071,PROPOSED WORKS,MAJOR,Streetworks,10AA0001694,Driver
LA00434326,PROPOSED WORKS,MAJOR,Streetworks,10BA0001687,Pedestrian
LA00434051,WORKS ABANDONED,MAJOR,Streetworks,10BA0002219,Passenger
LA00436568,PROPOSED WORKS,MAJOR,Streetworks,10CA0001713,Driver
LA00437548,PROPOSED WORKS,MINOR,Streetworks,10BA0001702,Driver
LA00437358,PROPOSED WORKS,MINOR,Streetworks,10BA0001702,Passenger
LA00420744,PROPOSED WORKS,MAJOR,Streetworks,10CA0001926,Driver
LA00435451,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001926,Passenger
LA00433192,PROPOSED WORKS,MAJOR,Streetworks,10CA0001926,Passenger
LA00437544,PROPOSED WORKS,STANDARD,Streetworks,10MU0001700,Driver
LA00434329,PROPOSED WORKS,STANDARD,Streetworks,10AA0002071,Pedestrian
LA00436286,PROPOSED WORKS,MAJOR,Streetworks,10BA0001665,Passenger
LA00436983,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001934,Pedestrian
LA00437063,PROPOSED WORKS,MAJOR,Streetworks,10BA0002235,Driver
LA00418372,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002235,Driver
LA00434000,PROPOSED PERMANENT,MINOR,Streetworks,10BA0002235,Passenger
LA00377633,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002235,Passenger
LA00433780,PROPOSED WORKS,STANDARD,Streetworks,10BA0002235,Passenger
LA00435422,PROPOSED WORKS,MAJOR,Streetworks,10MU0001832,Passenger
LA00435167,PROPOSED WORKS,MAJOR,Streetworks,10AA0001714,Passenger
LA00397355,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001735,Pedestrian
LA00426125,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001766,Driver
LA00436570,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001774,Driver
LA00433820,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002293,Driver
LA00429837,PROPOSED WORKS,MAJOR,Streetworks,10MU0002013,Driver
LA00420766,PROPOSED WORKS,MAJOR,Streetworks,10BA0001736,Driver
LA00421608,PROPOSED WORKS,MAJOR,Streetworks,10BA0001736,Driver
LA00429089,PROPOSED WORKS,STANDARD,Streetworks,10CA0001764,Passenger
LA00435446,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001924,Driver
LA00436258,PROPOSED WORKS,MINOR,Streetworks,10MU0001750,Driver
LA00428459,PROPOSED WORKS,STANDARD,Streetworks,10AA0001822,Driver
LA00437058,PROPOSED WORKS,MINOR,Streetworks,10AA0002103,Driver
LA00418358,PROPOSED WORKS,MAJOR,Streetworks,10BA0001837,Passenger
LA00435769,PROPOSED WORKS,MINOR,Streetworks,10CA0001757,Pedestrian
LA00432301,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001768,Driver
LA00429277,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001811,Passenger
LA00435755,PROPOSED WORKS,MAJOR,Streetworks,10CA0001813,Driver
LA00429980,PROPOSED WORKS,STANDARD,Streetworks,10CA0001813,Driver
LA00432757,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001813,Passenger
LA00435307,PROPOSED WORKS,STANDARD,Streetworks,10CA0001813,Passenger
LA00429064,PROPOSED WORKS,STANDARD,Streetworks,10CA0001813,Passenger
LA00434627,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001813,Passenger
LA00433406,PROPOSED WORKS,MAJOR,Streetworks,10CA0001933,Passenger
LA00436285,PROPOSED WORKS,MAJOR,Streetworks,10AA0001805,Driver
LA00433772,PROPOSED WORKS,MINOR,Streetworks,10AA0001918,Passenger
LA00435467,PROPOSED WORKS,MAJOR,Streetworks,10AA0002171,Driver
LA00437397,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002221,Driver
LA00412301,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0001930,Driver
LA00432157,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Building Licence,10CA0001796,Pedestrian
LA00437098,PROPOSED WORKS,MAJOR,Streetworks,10MU0001815,Driver
LA00433913,PROPOSED WORKS,MAJOR,Streetworks,10AA0002501,Driver
LA00437487,PROPOSED WORKS,MAJOR,Streetworks,10BA0001821,Pedestrian
LA00435462,PROPOSED WORKS,MINOR,Streetworks,10CA0001872,Pedestrian
LA00398970,WORKS ABANDONED,MAJOR,Streetworks,10CA0002041,Driver
LA00398497,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002041,Passenger
LA00434393,PROPOSED WORKS,MINOR,Streetworks,10AA0001949,Driver
LA00422429,IN PROGRESS,MAJOR,Streetworks,10BA0001840,Driver
LA00432112,PROPOSED WORKS,MAJOR,Streetworks,10BA0002216,Pedestrian
LA00432931,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001846,Driver
LA00436889,PROPOSED WORKS,STANDARD,Streetworks,10BA0001824,Driver
LA00432887,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001824,Driver
LA00436686,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001824,Passenger
LA00436063,PROPOSED WORKS,MAJOR,Streetworks,10BA0001867,Driver
LA00437103,PROPOSED WORKS,STANDARD,Streetworks,10BA0002227,Driver
LA00428117,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001835,Driver
LA00437777,PROPOSED WORKS,STANDARD,Streetworks,10CA0001835,Driver
LA00432546,PROPOSED WORKS,MAJOR,Streetworks,10AA0001955,Driver
LA00437806,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10BA0001819,Driver
LA00427485,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001927,Passenger
LA00434863,PROPOSED WORKS,MAJOR,Streetworks,10AA0002101,Driver
LA00433069,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001917,Driver
LA00426736,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001919,Driver
LA00342547,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001925,Pedestrian
LA00433771,PROPOSED WORKS,MAJOR,Streetworks,10BA0002043,Driver
LA00433677,PROPOSED WORKS,MAJOR,Streetworks,10AA0001981,Passenger
LA00424998,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002075,Passenger
LA00437405,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002084,Driver
LA00397639,PROPOSED WORKS,MAJOR,Streetworks,10AA0002096,Driver
LA00428457,PROPOSED WORKS,STANDARD,Streetworks,10AA0002096,Passenger
LA00436626,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002096,Passenger
LA00435304,PROPOSED WORKS,STANDARD,Streetworks,10AA0002096,Passenger
LA00434551,POTENTIAL WORKS,MAJOR,Streetworks,10BA0002028,Driver
LA00436687,PROPOSED WORKS,MINOR,Streetworks,10BA0002028,Driver
LA00436676,PROPOSED WORKS,STANDARD,Streetworks,10BA0002032,Driver
LA00436744,PROPOSED WORKS,MINOR,Streetworks,10BA0002035,Driver
LA00437065,PROPOSED WORKS,MAJOR,Streetworks,10BA0002363,Passenger
LA00437056,PROPOSED WORKS,MAJOR,Streetworks,10CA0001922,Pedestrian
LA00435908,PROPOSED WORKS,MAJOR,Streetworks,10CA0001937,Passenger
LA00336314,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002070,Pedestrian
LA00437106,PROPOSED WORKS,STANDARD,Streetworks,10AA0002072,Passenger
LA00436436,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002077,Pedestrian
LA00436844,PROPOSED WORKS,MAJOR,Streetworks,10CA0001991,Driver
LA00432869,PROPOSED WORKS,MAJOR,Streetworks,10CA0002111,Driver
LA00339141,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002078,Driver
LA00437108,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002078,Pedestrian
LA00434494,PROPOSED WORKS,MINOR,Streetworks,10AA0002089,Driver
LA00398932,PROPOSED WORKS,MAJOR,Streetworks,10AA0002089,Passenger
LA00433709,PROPOSED WORKS,MINOR,Streetworks,10AA0002185,Pedestrian
LA00428676,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002030,Driver
LA00432755,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002085,Driver
LA00420765,PROPOSED WORKS,MAJOR,Streetworks,10BA0002085,Driver
LA00435251,PROPOSED WORKS,MAJOR,Streetworks,10BA0002139,Driver
LA00424292,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002001,Driver
LA00418365,PROPOSED WORKS,MAJOR,Streetworks,10CA0002040,Driver
LA00436364,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10MU0002003,Driver
LA00432519,PROPOSED WORKS,STANDARD,Streetworks,10AA0002113,Driver
LA00435412,PROPOSED WORKS,MAJOR,Streetworks,10BA0002068,Driver
LA00432221,PROPOSED WORKS,MAJOR,Streetworks,10MU0002002,Driver
LA00432216,PROPOSED WORKS,MAJOR,Streetworks,10MU0002002,Passenger
LA00430932,PROPOSED WORKS,MAJOR,Streetworks,10MU0002056,Driver
LA00432294,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10MU0002056,Passenger
LA00420051,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10MU0002056,Passenger
LA00431333,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002081,Driver
LA00437556,PROPOSED WORKS,MINOR,Streetworks,10BA0002266,Driver
LA00431625,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002074,Passenger
LA00436190,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002214,Driver
LA00435662,PROPOSED WORKS,MAJOR,Streetworks,10CA0002341,Driver
LA00428623,WORKS ABANDONED,MAJOR,Streetworks,10BA0002151,Driver
LA00437404,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002128,Driver
LA00433403,PROPOSED WORKS,MAJOR,Streetworks,10CA0002166,Pedestrian
LA00426656,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10BA0002228,Driver
LA00437619,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Streetworks,10BA0003378,Driver
LA00435301,PROPOSED WORKS,MINOR,Streetworks,10CA0002186,Passenger
LA00395748,IN PROGRESS,MAJOR,Streetworks,10CA0002292,Driver
LA00436017,PROPOSED WORKS,STANDARD,Streetworks,10CA0002292,Passenger
LA00435862,PROPOSED WORKS,MAJOR,Streetworks,10CA0002292,Passenger
LA00434537,PROPOSED WORKS,MAJOR,Streetworks,10CA0002343,Passenger
LA00434893,PROPOSED WORKS,STANDARD,Streetworks,10CA0002343,Passenger
LA00432042,PROPOSED WORKS,MAJOR,Streetworks,10CA0002343,Passenger
LA00435440,PROPOSED WORKS,MAJOR,Streetworks,10MU0002161,Driver
LA00425250,PROPOSED WORKS,MAJOR,Streetworks,10BA0002220,Driver
LA00434610,PROPOSED WORKS,MAJOR,Streetworks,10BA0002286,Driver
LA00435413,PROPOSED WORKS,MAJOR,Streetworks,10BA0002286,Passenger
LA00424590,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002177,Driver
LA00436507,PROPOSED WORKS,STANDARD,Streetworks,10MU0002211,Driver
LA00436311,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10MU0002211,Driver
LA00432326,PROPOSED WORKS,MAJOR,Streetworks,10AA0002168,Driver
LA00436290,PROPOSED WORKS,STANDARD,Streetworks,10AA0002173,Driver
LA00339259,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002173,Driver
LA00389943,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002244,Pedestrian
LA00429336,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002299,Pedestrian
LA00429092,PROPOSED WORKS,MAJOR,Streetworks,10BA0002313,Driver
LA00437809,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10BA0002313,Driver
LA00434855,PROPOSED WORKS,MAJOR,Streetworks,10BA0002313,Passenger
LA00436071,PROPOSED WORKS,MAJOR,Streetworks,10BA0002423,Driver
LA00437402,PROPOSED WORKS,MINOR,Streetworks,10BA0126930,Driver
LA00435487,PROPOSED WORKS,STANDARD,Streetworks,10CA0002250,Pedestrian
LA00434905,PROPOSED WORKS,MAJOR,Streetworks,10AA0002233,Driver
LA00435228,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002233,Passenger
LA00431398,PROPOSED WORKS,STANDARD,Streetworks,10AA0002233,Driver
LA00388836,IN PROGRESS,MAJOR,Streetworks,10AA0002233,Passenger
LA00402659,PROPOSED WORKS,MAJOR,Streetworks,10AA0002245,Driver
LA00420437,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002317,Driver
LA00434327,PROPOSED WORKS,MAJOR,Streetworks,10AA0002320,Passenger
LA00433818,PROPOSED WORKS,MAJOR,Streetworks,10BA0002218,Driver
LA00429063,PROPOSED WORKS,STANDARD,Streetworks,10BA0002218,Passenger
LA00433465,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002210,Pedestrian
LA00436496,PROPOSED WORKS,STANDARD,Streetworks,10AA0002230,Pedestrian
LA00375749,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002197,Pedestrian
LA00432537,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002239,Driver
LA00433687,PROPOSED WORKS,MAJOR,Streetworks,10BA0002301,Driver
LA00433785,PROPOSED WORKS,MAJOR,Streetworks,10CA0002206,Pedestrian
LA00427403,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002213,Driver
LA00437396,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002291,Driver
LA00433401,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10MU0002457,Passenger
LA00433548,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002372,Driver
LA00435432,PROPOSED WORKS,MAJOR,Streetworks,10CA0002297,Driver
LA00435437,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002302,Passenger
LA00434538,PROPOSED WORKS,MAJOR,Streetworks,10CA0002312,Driver
