Category Of Works,Accident Ref No.,Sex of Casualty,Age of Casualty,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
Building Licence,10AA0000977,Female,43,41.061702,-81.52662,3/22/2017 8:00,3/27/2026 18:00
Temporary Traffic Restriction,10AA0001012,Male,30,39.398603,-84.452285,2/12/2018 7:00,9/21/2018 17:00
Streetworks,10AA0001012,Male,56,40.273157,-81.739337,4/11/2018 7:00,10/15/2018 18:00
Streetworks,10AA0001012,Female,35,40.76967,-81.338921,4/16/2018 5:00,7/20/2018 17:00
Streetworks,10AA0001043,Male,49,39.125108,-84.535983,3/12/2018 9:00,4/30/2018 15:00
Streetworks,10AA0001048,Female,65,41.061672,-81.506796,11/8/2017 20:00,8/31/2018 17:00
Building Licence,10AA0001233,Female,26,39.950654,-83.016378,4/17/2018 9:08,4/17/2018 22:23
Streetworks,10BA0001467,Male,52,41.524395,-80.868042,4/16/2018 5:00,8/17/2018 17:00
Building Licence,10CA0001068,Female,46,40.882227,-81.431531,4/13/2018 18:00,4/20/2018 6:00
Streetworks,10CA0001098,Female,45,39.336646,-84.282077,5/19/2017 7:00,6/1/2019 15:00
Temporary Traffic Restriction,10CA0001107,Male,23,41.674441,-83.574994,8/19/2014 7:00,9/30/2018 19:00
Streetworks,10CA0001107,Male,18,41.394533,-82.004742,3/30/2018 7:00,10/31/2019 17:00
Streetworks,10CA0001107,Female,75,41.480009,-81.661771,10/23/2017 20:00,10/31/2019 6:00
Building Licence,10CA0001107,Male,80,39.562199,-81.44942,3/26/2018 7:00,9/30/2018 17:00
Streetworks,10CA0001366,Female,20,39.876146,-84.234465,4/2/2018 7:00,4/27/2018 17:00
Streetworks,10MU0001092,Male,37,39.73725,-81.116559,2/23/2018 7:00,6/1/2018 15:30
Streetworks,10MU0001092,Female,19,39.584839,-81.647436,3/28/2018 7:00,6/30/2018 15:30
Building Licence,10AA0001058,Female,59,41.063161,-81.505375,10/31/2017 19:30,8/31/2018 17:00
Crane Operation,10AA0001058,Male,16,38.686237,-83.745581,1/1/2018 8:00,7/7/2018 16:00
Streetworks,10BA0001288,Male,58,41.725616,-81.268959,4/20/2018 8:00,10/20/2018 6:00
Streetworks,10CA0001004,Female,25,39.200853,-83.602912,4/2/2018 8:00,9/1/2018 16:00
Streetworks,10CA0001066,Female,22,40.476794,-81.980156,4/16/2018 10:08,4/19/2018 23:59
Building Licence,10CA0001066,Female,35,40.374704,-80.6126,5/31/2016 7:00,12/31/2018 17:00
Streetworks,10CA0001112,Male,40,40.073966,-80.967386,4/11/2016 7:00,7/31/2018 17:00
Building Licence,10MU0001093,Female,55,39.103197,-84.499687,7/1/2017 22:00,7/1/2018 6:00
Streetworks,10AA0001212,Male,18,38.770986,-82.872565,6/26/2016 8:00,7/31/2018 16:00
Streetworks,10BA0001089,Female,33,41.498514,-81.705228,7/3/2017 6:00,10/31/2018 18:00
Streetworks,10BA0001113,Male,22,39.579451,-83.68306,3/14/2018 19:00,4/20/2018 14:00
Building Licence,10CA0001050,Female,50,39.281224,-81.624693,4/2/2018 7:00,10/31/2018 17:00
Temporary Traffic Restriction,10BA0001078,Male,41,39.531448,-81.769992,3/12/2018 7:00,5/14/2018 18:00
Streetworks,10BA0001078,Male,27,39.059969,-84.416877,4/30/2018 7:00,6/1/2020 17:00
Streetworks,10BA0001297,Male,56,39.170503,-84.408852,3/19/2018 7:00,8/31/2019 15:30
Streetworks,10CA0001056,Female,34,41.636361,-81.437605,3/22/2017 7:00,7/31/2018 20:00
Streetworks,10CA0001056,Female,17,41.476334,-81.660906,6/12/2017 7:00,10/31/2019 10:00
Temporary Traffic Restriction,10CA0001056,Female,11,41.515172,-82.94298,10/14/2017 6:00,5/25/2018 18:00
Streetworks,10CA0001056,Male,43,41.490292,-81.668335,11/12/2017 7:00,10/31/2019 7:00
Streetworks,10CA0001060,Female,18,40.826528,-82.973279,3/30/2018 7:00,5/31/2018 17:00
Streetworks,10CA0001060,Female,19,40.804822,-81.280517,4/2/2018 5:00,7/27/2018 17:00
Streetworks,10CA0001060,Female,19,40.826486,-81.398918,4/2/2018 20:00,6/29/2018 17:00
Building Licence,10CA0001595,Male,38,38.739372,-82.970599,3/26/2018 8:00,10/31/2018 16:00
Temporary Traffic Restriction,10AA0001155,Male,12,41.578996,-81.549174,4/12/2018 20:00,6/15/2018 6:00
Streetworks,10AA0001155,Male,42,41.475027,-81.690211,4/12/2018 9:00,4/30/2018 14:00
Streetworks,10BA0001172,Female,24,39.153983,-84.443227,4/17/2017 20:00,8/31/2018 6:00
Building Licence,10CA0001181,Male,61,40.255056,-82.051506,4/13/2018 6:30,7/13/2018 17:00
Temporary Traffic Restriction,10CA0001476,Male,42,41.349028,-82.831251,4/17/2018 9:30,4/17/2018 16:00
Building Licence,10CA0001476,Female,35,39.321816,-82.405701,4/17/2018 9:02,4/17/2018 15:30
Streetworks,10CA0001476,Female,57,40.863991,-81.364516,10/3/2016 5:00,9/28/2018 17:00
Streetworks,10CA0001752,Female,46,41.06304,-81.517555,6/14/2017 8:00,6/26/2026 17:00
Building Licence,10CA0001752,Male,7,40.779366,-83.526477,4/2/2018 8:00,7/2/2018 8:00
Streetworks,10AA0001149,Male,18,40.914506,-84.350756,4/16/2018 8:00,4/25/2018 16:00
Building Licence,10BA0001190,Female,19,40.56536,-80.657608,4/16/2018 6:00,5/31/2018 17:00
Temporary Traffic Restriction,10BA0001190,Male,15,41.02452,-83.676268,6/19/2017 8:00,11/30/2020 16:00
Streetworks,10BA0001190,Female,16,39.130953,-82.887805,5/31/2017 14:00,8/12/2018 16:00
Streetworks,10BA0001335,Male,46,39.905557,-80.90364,9/11/2017 7:00,6/30/2018 17:00
Streetworks,10BA0001335,Male,35,39.805745,-81.290816,6/15/2018 7:00,6/30/2018 17:00
Streetworks,10CA0001175,Male,37,41.503169,-81.699251,4/17/2018 20:02,4/18/2018 6:00
Streetworks,10CA0001920,Male,67,39.533241,-81.247419,6/3/2018 7:00,6/30/2018 17:00
Streetworks,10AA0001209,Male,22,40.620346,-84.258668,4/2/2018 7:00,5/3/2018 17:00
Streetworks,10AA0001701,Male,32,39.240756,-84.451678,4/10/2017 9:00,11/10/2020 17:00
Streetworks,10CA0001262,Female,23,39.09284,-84.509877,3/20/2018 22:00,5/1/2018 17:00
Building Licence,10CA0001329,Female,47,38.850258,-82.867943,2/23/2018 8:00,4/30/2018 16:00
Building Licence,10CA0001329,Female,9,40.377617,-80.615856,5/31/2016 7:00,12/31/2018 17:00
Temporary Traffic Restriction,10CA0001329,Female,7,39.948567,-82.047369,3/20/2017 7:00,7/1/2019 19:00
Streetworks,10CA0001329,Female,4,39.131066,-82.427038,4/9/2018 7:00,6/30/2018 17:00
Streetworks,10CA0001329,Male,31,41.409337,-81.628261,12/4/2017 19:00,6/29/2024 6:00
Streetworks,10CA0001329,Female,6,41.038599,-81.663986,3/5/2018 5:00,5/11/2018 17:00
Streetworks,10AA0001236,Male,21,39.884299,-83.024222,4/17/2018 21:00,4/18/2018 5:00
Streetworks,10AA0001267,Female,50,39.104952,-84.501305,1/17/2017 9:00,9/30/2018 14:00
Temporary Traffic Restriction,10CA0001222,Male,51,40.962186,-82.086579,3/30/2018 7:00,10/31/2018 17:00
Temporary Traffic Restriction,10CA0001222,Female,28,39.436488,-83.222742,4/2/2018 8:00,9/30/2018 16:00
Streetworks,10CA0001271,Female,54,39.865379,-83.993095,3/16/2018 7:00,8/16/2018 17:00
Streetworks,10CA0001300,Male,32,39.165527,-83.22064,5/1/2018 8:00,9/30/2018 16:00
Streetworks,10CA0001413,Female,32,38.774274,-82.874216,2/12/2017 8:00,5/31/2018 18:00
Building Licence,10MU0001215,Female,4,39.856257,-84.412929,1/22/2018 7:00,9/30/2018 17:00
Streetworks,10MU0001289,Male,50,39.192891,-84.477114,12/1/2017 22:00,12/1/2018 5:00
Streetworks,10AA0001235,Male,22,41.379491,-82.006514,4/9/2018 7:00,4/23/2018 7:00
Streetworks,10AA0001446,Female,36,41.50308,-82.838257,11/28/2017 8:00,5/25/2018 18:00
Streetworks,10CA0001322,Male,74,40.55862,-84.320041,3/26/2018 7:00,7/31/2018 17:00
Streetworks,10CA0001333,Male,50,38.758102,-82.895656,4/2/2018 8:00,9/30/2018 16:00
Streetworks,10CA0001333,Female,46,40.762271,-80.707861,4/16/2018 1:49,4/17/2018 11:00
Building Licence,10BA0001326,Male,32,40.960712,-80.639401,3/16/2018 5:00,8/24/2018 17:00
Temporary Traffic Restriction,10MU0001261,Male,20,41.376911,-82.253446,4/16/2018 9:00,5/25/2018 0:00
Building Licence,10BA0001328,Female,41,41.679137,-83.574077,8/7/2017 6:00,7/31/2018 18:00
Crane Operation,10MU0001281,Female,26,40.953794,-82.071602,3/30/2018 7:00,9/30/2018 17:00
Building Licence,10MU0001361,Male,19,40.624107,-80.586743,1/29/2018 7:00,9/30/2018 17:00
Building Licence,10MU0001361,Male,28,39.642723,-80.917629,2/23/2018 7:00,6/1/2018 15:30
Streetworks,10MU0001361,Male,20,39.652343,-81.887852,3/12/2018 7:00,6/1/2018 17:00
Building Licence,10MU0001361,Male,19,41.503396,-81.651857,7/14/2017 6:00,10/31/2018 6:00
Streetworks,10MU0001319,Male,53,41.501517,-81.479787,9/19/2016 6:00,5/31/2018 9:00
Streetworks,10MU0001319,Female,23,41.34178,-82.350765,4/17/2018 7:00,4/18/2018 7:00
Streetworks,10MU0001319,Female,55,39.135152,-82.546234,4/29/2018 8:00,7/14/2018 16:00
Streetworks,10AA0001350,Male,24,41.55303,-83.599076,4/17/2018 8:52,4/17/2018 13:00
Building Licence,10AA0001531,Female,15,40.097275,-83.137311,4/17/2018 22:00,4/18/2018 5:00
Temporary Traffic Restriction,10AA0002067,Female,23,39.762242,-81.116756,7/1/2018 7:00,8/1/2018 17:00
Streetworks,10CA0001400,Male,65,40.661499,-84.420567,4/2/2018 7:00,4/30/2018 17:00
Streetworks,10AA0001362,Male,33,40.624995,-80.587419,9/14/2017 12:00,12/31/2018 17:00
Building Licence,10AA0001437,Male,57,41.041634,-81.609855,3/5/2018 5:00,7/13/2018 17:00
Building Licence,10BA0001375,Male,40,41.063744,-81.527123,12/11/2017 5:00,4/27/2018 17:00
Streetworks,10CA0001445,Male,42,40.248186,-81.203034,1/17/2017 7:00,5/31/2018 17:00
Temporary Traffic Restriction,10CA0001458,Male,43,41.650323,-83.548893,8/21/2017 6:00,7/31/2018 18:00
Streetworks,10AA0001396,Male,36,40.960161,-80.640088,3/16/2018 5:00,10/26/2018 17:00
Streetworks,10AA0001434,Male,13,40.397091,-80.633082,4/16/2018 7:00,10/31/2018 17:00
Crane Operation,10AA0001676,Male,30,39.600795,-83.721448,3/15/2018 7:00,6/30/2018 15:30
Streetworks,10AA0082105,Female,23,39.202063,-81.768834,4/2/2018 7:30,4/27/2018 14:30
Streetworks,10BA0001411,Female,67,40.464114,-80.972414,4/16/2018 7:00,4/20/2018 16:00
Streetworks,10BA0002459,Male,52,,,,
Building Licence,10CA0001408,Female,56,,,,
Streetworks,10CA0001417,Male,25,,,,
Temporary Traffic Restriction,10CA0001443,Female,57,,,,
Streetworks,10CA0001443,Female,43,,,,
Streetworks,10CA0001443,Male,60,,,,
Building Licence,10AA0001397,Female,72,,,,
Building Licence,10AA0001622,Male,56,,,,
Streetworks,10CA0001452,Male,34,,,,
Streetworks,10CA0001459,Male,63,,,,
Streetworks,10CA0001459,Female,62,,,,
Building Licence,10CA0001716,Female,21,,,,
Temporary Traffic Restriction,10AA0001435,Male,40,,,,
Building Licence,10AA0001435,Female,31,,,,
Streetworks,10AA0001435,Female,10,,,,
Building Licence,10AA0001438,Male,24,,,,
Building Licence,10AA0001532,Male,43,,,,
Streetworks,10AA0001532,Male,64,,,,
Building Licence,10BA0001433,Male,45,,,,
Building Licence,10BA0001454,Female,28,,,,
Streetworks,10BA0001454,Female,28,,,,
Building Licence,10BA0001454,Female,32,,,,
Streetworks,10CA0001620,Female,21,,,,
Crane Operation,10AA0001453,Female,22,,,,
Temporary Traffic Restriction,10AA0001453,Female,18,,,,
Building Licence,10AA0001453,Male,25,,,,
Building Licence,10AA0001453,Male,24,,,,
Streetworks,10BA0001845,Female,38,,,,
Temporary Traffic Restriction,10BA0001845,Male,42,,,,
Streetworks,10BA0001845,Male,9,,,,
Streetworks,10BA0001845,Male,8,,,,
Streetworks,10BA0001845,Male,10,,,,
Streetworks,10CA0001456,Male,34,,,,
Streetworks,10CA0001456,Female,26,,,,
Building Licence,10CA0001754,Male,29,,,,
Streetworks,10CA0001515,Male,44,,,,
Temporary Traffic Restriction,10AA0001552,Male,57,,,,
Temporary Traffic Restriction,10AA0001570,Male,7,,,,
Streetworks,10AA0001577,Male,26,,,,
Streetworks,10AA0001626,Female,25,,,,
Temporary Traffic Restriction,10AA0001638,Male,17,,,,
Streetworks,10BA0001602,Female,21,,,,
Building Licence,10BA0001605,Male,20,,,,
Building Licence,10BA0001623,Female,51,,,,
Streetworks,10BA0001625,Male,69,,,,
Streetworks,10CA0001567,Female,17,,,,
Streetworks,10CA0001709,Male,19,,,,
Building Licence,10CA0001709,Male,57,,,,
Building Licence,10AA0001548,Female,35,,,,
Streetworks,10AA0001635,Female,20,,,,
Streetworks,10BA0001535,Male,17,,,,
Building Licence,10BA0001689,Female,22,,,,
Temporary Traffic Restriction,10BA0001689,Female,22,,,,
Streetworks,10BA0001689,Male,25,,,,
Other,10CA0001576,Female,24,,,,
Streetworks,10CA0001576,Male,23,,,,
Building Licence,10MU0001656,Male,42,,,,
Streetworks,10AA0001598,Male,29,,,,
Streetworks,10AA0001598,Female,30,,,,
Crane Operation,10AA0001598,Male,18,,,,
Streetworks,10AA0001614,Male,40,,,,
Streetworks,10AA0001630,Male,32,,,,
Streetworks,10BA0001673,Male,16,,,,
Streetworks,10BA0001685,Male,72,,,,
Streetworks,10CA0001596,Male,39,,,,
Streetworks,10CA0001672,Female,34,,,,
Streetworks,10CA0001758,Male,57,,,,
Building Licence,10AA0001621,Female,44,,,,
Streetworks,10AA0001694,Male,7,,,,
Streetworks,10BA0001687,Female,77,,,,
Streetworks,10BA0002219,Male,12,,,,
Streetworks,10CA0001713,Female,23,,,,
Streetworks,10BA0001702,Male,47,,,,
Streetworks,10BA0001702,Female,42,,,,
Streetworks,10CA0001926,Male,20,,,,
Building Licence,10CA0001926,Male,21,,,,
Streetworks,10CA0001926,Male,20,,,,
Streetworks,10MU0001700,Male,49,,,,
Streetworks,10AA0002071,Female,5,,,,
Streetworks,10BA0001665,Female,32,,,,
Building Licence,10BA0001934,Male,34,,,,
Streetworks,10BA0002235,Male,21,,,,
Building Licence,10BA0002235,Male,44,,,,
Streetworks,10BA0002235,Male,20,,,,
Building Licence,10BA0002235,Male,21,,,,
Streetworks,10BA0002235,Female,22,,,,
Streetworks,10MU0001832,Male,23,,,,
Streetworks,10AA0001714,Female,36,,,,
Building Licence,10AA0001735,Male,11,,,,
Building Licence,10AA0001766,Female,42,,,,
Temporary Traffic Restriction,10AA0001774,Male,24,,,,
Temporary Traffic Restriction,10BA0002293,Female,69,,,,
Streetworks,10MU0002013,Female,48,,,,
Streetworks,10BA0001736,Male,52,,,,
Streetworks,10BA0001736,Female,22,,,,
Streetworks,10CA0001764,Female,43,,,,
Building Licence,10CA0001924,Male,47,,,,
Streetworks,10MU0001750,Female,34,,,,
Streetworks,10AA0001822,Male,28,,,,
Streetworks,10AA0002103,Male,16,,,,
Streetworks,10BA0001837,Female,83,,,,
Streetworks,10CA0001757,Male,22,,,,
Temporary Traffic Restriction,10CA0001768,Male,70,,,,
Building Licence,10CA0001811,Male,36,,,,
Streetworks,10CA0001813,Male,45,,,,
Streetworks,10CA0001813,Male,35,,,,
Building Licence,10CA0001813,Female,16,,,,
Streetworks,10CA0001813,Male,16,,,,
Streetworks,10CA0001813,Male,16,,,,
Building Licence,10CA0001813,Female,16,,,,
Streetworks,10CA0001933,Male,32,,,,
Streetworks,10AA0001805,Female,71,,,,
Streetworks,10AA0001918,Male,46,,,,
Streetworks,10AA0002171,Male,39,,,,
Temporary Traffic Restriction,10AA0002221,Male,27,,,,
Crane Operation,10BA0001930,Female,35,,,,
Building Licence,10CA0001796,Male,17,,,,
Streetworks,10MU0001815,Female,19,,,,
Streetworks,10AA0002501,Male,23,,,,
Streetworks,10BA0001821,Female,12,,,,
Streetworks,10CA0001872,Male,57,,,,
Streetworks,10CA0002041,Male,64,,,,
Building Licence,10CA0002041,Female,65,,,,
Streetworks,10AA0001949,Male,51,,,,
Streetworks,10BA0001840,Female,23,,,,
Streetworks,10BA0002216,Male,48,,,,
Building Licence,10CA0001846,Male,45,,,,
Streetworks,10BA0001824,Female,36,,,,
Building Licence,10BA0001824,Female,38,,,,
Building Licence,10BA0001824,Female,19,,,,
Streetworks,10BA0001867,Male,19,,,,
Streetworks,10BA0002227,Male,32,,,,
Building Licence,10CA0001835,Male,54,,,,
Streetworks,10CA0001835,Male,46,,,,
Streetworks,10AA0001955,Male,40,,,,
Other,10BA0001819,Female,42,,,,
Temporary Traffic Restriction,10AA0001927,Female,76,,,,
Streetworks,10AA0002101,Male,43,,,,
Temporary Traffic Restriction,10BA0001917,Female,50,,,,
Building Licence,10BA0001919,Male,59,,,,
Building Licence,10BA0001925,Male,16,,,,
Streetworks,10BA0002043,Female,40,,,,
Streetworks,10AA0001981,Female,85,,,,
Building Licence,10AA0002075,Male,10,,,,
Temporary Traffic Restriction,10AA0002084,Male,19,,,,
Streetworks,10AA0002096,Male,33,,,,
Streetworks,10AA0002096,Male,34,,,,
Temporary Traffic Restriction,10AA0002096,Male,33,,,,
Streetworks,10AA0002096,Male,33,,,,
Streetworks,10BA0002028,Male,45,,,,
Streetworks,10BA0002028,Male,30,,,,
Streetworks,10BA0002032,Female,37,,,,
Streetworks,10BA0002035,Male,42,,,,
Streetworks,10BA0002363,Male,65,,,,
Streetworks,10CA0001922,Female,28,,,,
Streetworks,10CA0001937,Male,29,,,,
Building Licence,10AA0002070,Male,4,,,,
Streetworks,10AA0002072,Male,34,,,,
Temporary Traffic Restriction,10AA0002077,Female,20,,,,
Streetworks,10CA0001991,Male,24,,,,
Streetworks,10CA0002111,Male,41,,,,
Building Licence,10AA0002078,Male,23,,,,
Building Licence,10AA0002078,Male,90,,,,
Streetworks,10AA0002089,Female,19,,,,
Streetworks,10AA0002089,Male,20,,,,
Streetworks,10AA0002185,Male,29,,,,
Temporary Traffic Restriction,10BA0002030,Male,23,,,,
Building Licence,10BA0002085,Male,18,,,,
Streetworks,10BA0002085,Female,24,,,,
Streetworks,10BA0002139,Female,19,,,,
Building Licence,10CA0002001,Male,41,,,,
Streetworks,10CA0002040,Male,35,,,,
Streetworks,10MU0002003,Male,64,,,,
Streetworks,10AA0002113,Male,43,,,,
Streetworks,10BA0002068,Male,52,,,,
Streetworks,10MU0002002,Male,30,,,,
Streetworks,10MU0002002,Female,18,,,,
Streetworks,10MU0002056,Male,45,,,,
Temporary Traffic Restriction,10MU0002056,Female,43,,,,
Crane Operation,10MU0002056,Female,18,,,,
Building Licence,10BA0002081,Female,50,,,,
Streetworks,10BA0002266,Male,55,,,,
Temporary Traffic Restriction,10CA0002074,Female,76,,,,
Temporary Traffic Restriction,10CA0002214,Male,45,,,,
Streetworks,10CA0002341,Male,39,,,,
Streetworks,10BA0002151,Male,48,,,,
Temporary Traffic Restriction,10CA0002128,Male,51,,,,
Streetworks,10CA0002166,Female,28,,,,
Other,10BA0002228,Male,39,,,,
Streetworks,10BA0003378,Male,51,,,,
Streetworks,10CA0002186,Female,76,,,,
Streetworks,10CA0002292,Male,83,,,,
Streetworks,10CA0002292,Female,81,,,,
Streetworks,10CA0002292,Female,79,,,,
Streetworks,10CA0002343,Female,19,,,,
Streetworks,10CA0002343,Female,21,,,,
Streetworks,10CA0002343,Female,20,,,,
Streetworks,10MU0002161,Female,23,,,,
Streetworks,10BA0002220,Female,35,,,,
Streetworks,10BA0002286,Female,38,,,,
Streetworks,10BA0002286,Female,5,,,,
Temporary Traffic Restriction,10CA0002177,Female,19,,,,
Streetworks,10MU0002211,Female,50,,,,
Temporary Traffic Restriction,10MU0002211,Male,45,,,,
Streetworks,10AA0002168,Female,50,,,,
Streetworks,10AA0002173,Male,18,,,,
Building Licence,10AA0002173,Male,45,,,,
Building Licence,10AA0002244,Male,13,,,,
Temporary Traffic Restriction,10BA0002299,Female,81,,,,
Streetworks,10BA0002313,Male,30,,,,
Other,10BA0002313,Male,22,,,,
Streetworks,10BA0002313,Male,24,,,,
Streetworks,10BA0002423,Female,31,,,,
Streetworks,10BA0126930,Male,19,,,,
Streetworks,10CA0002250,Male,22,,,,
Streetworks,10AA0002233,Male,42,,,,
Temporary Traffic Restriction,10AA0002233,Female,43,,,,
Streetworks,10AA0002233,Male,20,,,,
Streetworks,10AA0002233,Male,9,,,,
Streetworks,10AA0002245,Male,25,,,,
Temporary Traffic Restriction,10AA0002317,Male,24,,,,
Streetworks,10AA0002320,Female,19,,,,
Streetworks,10BA0002218,Female,18,,,,
Streetworks,10BA0002218,Female,15,,,,
Building Licence,10CA0002210,Male,15,,,,
Streetworks,10AA0002230,Male,58,,,,
Building Licence,10BA0002197,Male,12,,,,
Building Licence,10BA0002239,Male,21,,,,
Streetworks,10BA0002301,Female,52,,,,
Streetworks,10CA0002206,Female,18,,,,
Building Licence,10CA0002213,Male,28,,,,
Temporary Traffic Restriction,10CA0002291,Female,28,,,,
Temporary Traffic Restriction,10MU0002457,Female,22,,,,
Building Licence,10BA0002372,Male,50,,,,
Streetworks,10CA0002297,Male,25,,,,
Building Licence,10CA0002302,Male,43,,,,
Streetworks,10CA0002312,Male,40,,,,
Building Licence,10CA0002336,Male,34,,,,
Building Licence,10AA0002368,Female,29,,,,
Streetworks,10AA0002370,Female,70,,,,
Streetworks,10AA0003115,Male,59,,,,
Streetworks,10BA0002340,Female,45,,,,
Building Licence,10BA0002344,Male,43,,,,
Building Licence,10BA0002380,Female,31,,,,
Temporary Traffic Restriction,10BA0002380,Male,28,,,,
Streetworks,10BA0002380,Male,41,,,,
Streetworks,10MU0002347,Female,57,,,,
Building Licence,10AA0002376,Female,13,,,,
Streetworks,10BA0002414,Female,9,,,,
Streetworks,10BA0002417,Female,82,,,,
Building Licence,10BA0002435,Female,20,,,,
Streetworks,10BA0002498,Female,30,,,,
Building Licence,10CA0002558,Male,36,,,,
Streetworks,10CA0002558,Female,30,,,,
Streetworks,10AA0002387,Male,47,,,,
Temporary Traffic Restriction,10BA0002482,Male,26,,,,
Building Licence,10CA0002361,Male,34,,,,
Streetworks,10CA0002390,Male,27,,,,
Streetworks,10CA0002392,Female,21,,,,
Other,10CA0002422,Male,45,,,,
Streetworks,10CA0002468,Female,46,,,,
Streetworks,10CA0002561,Female,40,,,,
Building Licence,10MU0002409,Male,47,,,,
Streetworks,10MU0002409,Male,57,,,,
Streetworks,10MU0002433,Female,45,,,,
Streetworks,10MU0002450,Female,23,,,,
Streetworks,10AA0002375,Female,23,,,,
Streetworks,10AA0002395,Male,51,,,,
Temporary Traffic Restriction,10AA0002442,Male,18,,,,
Building Licence,10AA0002442,Male,16,,,,
Temporary Traffic Restriction,10AA0002442,Male,18,,,,
Streetworks,10BA0002438,Male,37,,,,
Streetworks,10BA0002454,Male,22,,,,
Streetworks,10BA0002454,Male,29,,,,
Streetworks,10BA0002454,Female,20,,,,
Streetworks,10BA0002464,Female,66,,,,
Streetworks,10BA0002464,Female,36,,,,
Streetworks,10BA0002473,Male,27,,,,
Building Licence,10CA0002554,Male,64,,,,
Building Licence,10CA0002554,Female,36,,,,
Streetworks,10CA0002563,Male,15,,,,
Building Licence,10AA0002360,Male,30,,,,
Temporary Traffic Restriction,10AA0002360,Male,23,,,,
Building Licence,10AA0002360,Male,21,,,,
Building Licence,10AA0002360,Male,30,,,,
Streetworks,10BA0002471,Male,20,,,,
Building Licence,10BA0003351,Female,35,,,,
Temporary Traffic Restriction,10BA0003451,Male,22,,,,
Streetworks,10CA0002472,Female,36,,,,
Streetworks,10CA0002472,Female,5,,,,
Streetworks,10AA0002386,Male,57,,,,
Building Licence,10AA0002698,Male,67,,,,
Streetworks,10AA0002698,Female,49,,,,
Streetworks,10BA0002467,Male,19,,,,
Streetworks,10BA0004480,Male,30,,,,
Temporary Traffic Restriction,10CA0002743,Male,41,,,,
Building Licence,10AA0002388,Female,20,,,,
Building Licence,10AA0002388,Male,40,,,,
Streetworks,10AA0002388,Female,63,,,,
Streetworks,10AA0002673,Female,17,,,,
Streetworks,10MU0139624,Male,52,,,,
Temporary Traffic Restriction,10AA0002507,Female,45,,,,
Streetworks,10AA0002507,Female,21,,,,
Streetworks,10AA0002644,Male,52,,,,
Streetworks,10BA0002530,Female,5,,,,
Building Licence,10MU0002531,Male,25,,,,
Streetworks,10AA0002520,Male,25,,,,
Streetworks,10AA0002520,Male,21,,,,
Building Licence,10AA0002520,Female,21,,,,
Temporary Traffic Restriction,10AA0002520,Female,21,,,,
Streetworks,10AA0002533,Male,73,,,,
Streetworks,10AA0002533,Male,27,,,,
Streetworks,10AA0002533,Female,51,,,,
Streetworks,10BA0002613,Male,33,,,,
Streetworks,10BA0002613,Male,20,,,,
Streetworks,10CA0002543,Female,71,,,,
Streetworks,10CA0002652,Male,46,,,,
Temporary Traffic Restriction,10CA0002652,Male,48,,,,
Streetworks,10CA0002652,Male,15,,,,
Streetworks,10MU0002547,Male,38,,,,
Streetworks,10AA0002579,Male,11,,,,
Building Licence,10BA0002535,Male,60,,,,
Crane Operation,10BA0002535,Female,26,,,,
Streetworks,10CA0002596,Female,4,,,,
Building Licence,10CA0002609,Female,43,,,,
Streetworks,10CA0002609,Male,13,,,,
Streetworks,10DA0002623,Male,38,,,,
Streetworks,10AA0002551,Male,73,,,,
Streetworks,10AA0002551,Male,64,,,,
Streetworks,10AA0002551,Male,77,,,,
Streetworks,10AA0002551,Female,70,,,,
Building Licence,10BA0003461,Female,85,,,,
Building Licence,10CA0002624,Male,36,,,,
Building Licence,10AA0002622,Male,37,,,,
Streetworks,10BA0002584,Male,86,,,,
Streetworks,10BA0002585,Male,10,,,,
Temporary Traffic Restriction,10BA0002594,Male,21,,,,
Streetworks,10BA0002610,Male,29,,,,
Streetworks,10BA0002610,Male,38,,,,
Temporary Traffic Restriction,10BA0002610,Male,13,,,,
Streetworks,10BA0002610,Female,9,,,,
Streetworks,10BA0003100,Male,21,,,,
Streetworks,10CA0002597,Female,47,,,,
Building Licence,10CA0002617,Male,20,,,,
Streetworks,10CA0002649,Female,19,,,,
Streetworks,10CA0002649,Male,45,,,,
Temporary Traffic Restriction,10CA0002649,Female,19,,,,
Streetworks,10AA0002660,Female,47,,,,
Building Licence,10AA0002660,Female,60,,,,
Building Licence,10BA0002741,Male,29,,,,
Streetworks,10AA0002863,Male,11,,,,
Streetworks,10BA0002631,Female,42,,,,
Crane Operation,10BA0003585,Female,33,,,,
Streetworks,10BA0003585,Female,9,,,,
Building Licence,10AA0002708,Female,41,,,,
Building Licence,10AA0002708,Female,75,,,,
Streetworks,10AA0002718,Male,19,,,,
Streetworks,10BA0002830,Male,36,,,,
Streetworks,10AA0002690,Male,16,,,,
Crane Operation,10AA0002736,Male,18,,,,
Streetworks,10AA0002736,Female,17,,,,
Building Licence,10AA0002736,Male,17,,,,
Temporary Traffic Restriction,10AA0002736,Female,16,,,,
,10BA0002693,Male,49,,,,
,10BA0003376,Female,18,,,,
,10BA0003376,Female,18,,,,
,10CA0002731,Male,29,,,,
,10CA0002735,Male,30,,,,
,10CA0002738,Female,42,,,,
,10CA0002787,Female,31,,,,
,10CA0002814,Female,70,,,,
,10MU0002737,Female,34,,,,
,10AA0002745,Male,40,,,,
,10CA0002727,Male,37,,,,
,10BA0002809,Female,26,,,,
