ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS,Local Authority Reference,Works Status,Works Type,Category Of Works
RC166,2020-01-23T00:00:00.000Z,2020-03-31T00:00:00.000Z,4816 PRESTON HWY,LA00431385,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC167,2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,7909 BARBOUR MANOR DR,LA00434937,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC168,2020-02-17T00:00:00.000Z,2020-03-20T00:00:00.000Z,8516 PENNSYLVANIA RUN RD,LA00429088,PROPOSED WORKS,STANDARD,Streetworks
RC169,2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14805 OLD HENRY RD,LA00436293,PROPOSED WORKS,STANDARD,Streetworks
RC170,2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,715 BROOKLINE AVE,LA00418369,PROPOSED WORKS,MAJOR,Streetworks
RC171,2020-02-11T00:00:00.000Z,2020-03-10T00:00:00.000Z,226 S 1ST ST,LA00434523,WORKS ABANDONED,MAJOR,Streetworks
RC172,2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14516 AIKEN RD,LA00432137,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC173,2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,1804 S 3RD ST,LA00428081,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC174,2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,424 S 5TH ST,LA00436614,PROPOSED WORKS,STANDARD,Streetworks
RC175,2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,150 S 3RD ST,LA00436262,WORKS ABANDONED,MAJOR,Streetworks
RC176,2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,600 E LIBERTY ST,LA00437745,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC177,2020-02-12T00:00:00.000Z,2020-03-11T00:00:00.000Z,2501 STANLEY GAULT PKY,LA00434253,PROPOSED WORKS,MAJOR,Streetworks
RC178,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1367 S 11TH ST,LA00437530,PROPOSED WORKS,MINOR,Streetworks
RC179,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1369 S 11TH ST,LA00434050,WORKS ABANDONED,MAJOR,Streetworks
RC180,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1368 S 11TH ST,LA00434930,PROPOSED WORKS,MAJOR,Streetworks
RC181,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1400 S 13TH ST,LA00437068,PROPOSED WORKS,MAJOR,Streetworks
RC182,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1409 W HILL ST,LA00436020,WORKS ABANDONED,STANDARD,Streetworks
RC183,2020-01-13T00:00:00.000Z,2020-03-02T00:00:00.000Z,1819 W HILL ST,LA00424319,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC184,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1369 S 11TH ST,LA00434534,PROPOSED WORKS,MINOR,Streetworks
RC185,2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1225 W BURNETT AVE,LA00437059,PROPOSED WORKS,MAJOR,Streetworks
RC186,2020-01-05T00:00:00.000Z,2020-03-12T00:00:00.000Z,7518 SMYRNA RD,LA00437496,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC187,2019-12-12T00:00:00.000Z,2020-03-12T00:00:00.000Z,917 W HILL ST,LA00421797,PROPOSED WORKS,MAJOR,Streetworks
RC188,2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,913 S CLAY ST,LA00424325,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC189,2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,2200 DIXIE HWY,LA00432890,PROPOSED WORKS,MAJOR,Streetworks
RC190,2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,1698 PHYLLIS AVE,LA00426272,PROPOSED WORKS,MAJOR,Streetworks
RC191,2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,1799 MCCLOSKEY AVE,LA00437656,PROPOSED WORKS,MAJOR,Streetworks
RC192,2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,1799 WATHEN LN,LA00420764,PROPOSED WORKS,MAJOR,Streetworks
RC193,2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,1534 LONEY LN,LA00435475,PROPOSED WORKS,MAJOR,Streetworks
RC194,2020-02-17T00:00:00.000Z,2020-03-13T00:00:00.000Z,1015 S 8TH ST,LA00434533,PROPOSED WORKS,MAJOR,Streetworks
RC195,2020-02-15T00:00:00.000Z,2020-03-14T00:00:00.000Z,946 GOSS AVE,LA00435254,PROPOSED WORKS,MAJOR,Streetworks
RC196,2020-01-15T00:00:00.000Z,2020-03-15T00:00:00.000Z,1263 E BURNETT AVE,LA00435477,PROPOSED WORKS,MAJOR,Streetworks
RC197,2020-01-15T00:00:00.000Z,2020-03-15T00:00:00.000Z,930 CLARKS LN,LA00434083,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC198,2020-01-31T00:00:00.000Z,2020-03-15T00:00:00.000Z,677 S 26TH ST,LA00435664,PROPOSED WORKS,STANDARD,Streetworks
RC199,2020-01-31T00:00:00.000Z,2020-03-15T00:00:00.000Z,677 S 26TH ST,LA00435416,PROPOSED WORKS,MAJOR,Streetworks
RC200,2020-01-02T00:00:00.000Z,2020-03-16T00:00:00.000Z,12500 SYCAMORE STATION PL,LA00435670,PROPOSED WORKS,MINOR,Streetworks
RC201,2020-01-20T00:00:00.000Z,2020-03-16T00:00:00.000Z,200 E LIBERTY ST,LA00426271,PROPOSED WORKS,MAJOR,Streetworks
RC202,2020-01-20T00:00:00.000Z,2020-03-16T00:00:00.000Z,319 W MUHAMMAD ALI BLVD,LA00429436,PROPOSED WORKS,STANDARD,Streetworks
RC203,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1455 S 6TH ST,LA00398696,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC204,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,5009 DUNVEGAN RD,LA00426065,PROPOSED WORKS,MAJOR,Streetworks
RC205,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1000 W JEFFERSON ST Unit 101,LA00436666,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC206,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1200 LOGAN ST,LA00426420,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC207,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,700 CENTRAL AVE,LA00436628,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC208,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1385 S 4TH ST,LA00429288,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC209,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,724 CAWTHON ST,LA00426298,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC210,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1901 N BECKLEY STATION RD,LA00435476,PROPOSED WORKS,MAJOR,Streetworks
RC211,2020-01-13T00:00:00.000Z,2020-03-02T00:00:00.000Z,1715 DIXIE HWY,LA00394965,WORKS ABANDONED,MAJOR,Streetworks
RC212,2020-01-20T00:00:00.000Z,2020-03-02T00:00:00.000Z,1500 ARCADE AVE,LA00436289,PROPOSED WORKS,STANDARD,Streetworks
RC213,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,977 S SHELBY ST,LA00435421,PROPOSED WORKS,MAJOR,Streetworks
RC214,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,701 E KENTUCKY ST,LA00428925,PROPOSED WORKS,MAJOR,Streetworks
RC215,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1758 W BURNETT AVE Unit 1,LA00435584,PROPOSED WORKS,MAJOR,Streetworks
RC216,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2108 MCCLOSKEY AVE,LA00437335,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC217,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2304 DUMESNIL ST,LA00426783,PROPOSED WORKS,MINOR,Streetworks
RC218,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2126 W OAK ST,LA00435678,PROPOSED WORKS,MAJOR,Streetworks
RC219,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2216 W OAK ST,LA00436111,PROPOSED WORKS,STANDARD,Streetworks
RC220,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1799 BOLLING AVE,LA00435754,PROPOSED WORKS,MAJOR,Streetworks
RC221,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2301 W ORMSBY AVE,LA00329315,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC222,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2727 LINDSAY AVE,LA00435682,PROPOSED WORKS,MAJOR,Streetworks
RC223,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1112 RIVER RD,LA00437446,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC224,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,270 N CAMPBELL ST,LA00437269,PROPOSED WORKS,MAJOR,Streetworks
RC225,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,4800 ALLMOND AVE,LA00401782,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC226,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,808 DORSEY LN,LA00428113,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC227,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,3941 BUECHEL BANK RD,LA00436272,PROPOSED WORKS,STANDARD,Streetworks
RC228,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1000 W MARKET ST,LA00415664,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC229,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,4333 ROBARDS LN,LA00437162,PROPOSED WORKS,MINOR,Streetworks
RC230,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,922 S 2ND ST,LA00437070,PROPOSED WORKS,MAJOR,Streetworks
RC231,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1527 PORTLAND AVE,LA00435447,PROPOSED WORKS,STANDARD,Streetworks
RC232,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,3505 GOLDSMITH LN,LA00430423,PROPOSED WORKS,MAJOR,Streetworks
RC233,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,750 GRADE LN,LA00435997,PROPOSED WORKS,MAJOR,Streetworks
RC234,2020-02-10T00:00:00.000Z,2020-03-02T00:00:00.000Z,2701 ROCKFORD LN,LA00398180,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC235,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,406 STILZ AVE,LA00434546,PROPOSED WORKS,MINOR,Streetworks
RC236,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,2201 CROSS HILL RD,LA00433070,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC237,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,2614 TOP HILL RD,LA00433408,PROPOSED WORKS,MAJOR,Streetworks
RC238,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,1018 ELLISON AVE,LA00436982,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC239,2020-02-24T00:00:00.000Z,2020-03-02T00:00:00.000Z,13698 AIKEN RD,LA00434603,PROPOSED WORKS,MAJOR,Streetworks
RC240,2019-12-19T00:00:00.000Z,2020-03-02T00:00:00.000Z,1735 S 22ND ST,LA00425287,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC241,2020-02-04T00:00:00.000Z,2020-03-03T00:00:00.000Z,4424 RIVER RD,LA00436504,PROPOSED WORKS,STANDARD,Streetworks
RC242,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,6310 KENJOY DR,LA00434903,WORKS ABANDONED,MAJOR,Streetworks
RC243,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,1718 MCCLOSKEY AVE,LA00397054,IN PROGRESS,MINOR,Streetworks
RC244,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,2201 W MAIN ST,LA00411741,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC245,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,1430 S SHELBY ST,LA00434744,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC246,2020-01-28T00:00:00.000Z,2020-03-06T00:00:00.000Z,200 E WASHINGTON ST,LA00433054,PROPOSED WORKS,MAJOR,Streetworks
RC247,2020-02-03T00:00:00.000Z,2020-03-06T00:00:00.000Z,7013 E MANSLICK RD,LA00435763,PROPOSED WORKS,MAJOR,Streetworks
RC248,2020-02-17T00:00:00.000Z,2020-03-06T00:00:00.000Z,740 COCHRAN HILL RD,LA00435449,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC249,2020-02-17T00:00:00.000Z,2020-03-06T00:00:00.000Z,2614 TOP HILL RD,LA00433068,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC250,2020-02-17T00:00:00.000Z,2020-03-06T00:00:00.000Z,1148 S PRESTON ST,LA00437633,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC251,2020-02-24T00:00:00.000Z,2020-03-06T00:00:00.000Z,9120 SHELBYVILLE RD,LA00432752,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC252,2020-02-08T00:00:00.000Z,2020-03-07T00:00:00.000Z,2525 ELLSWORTH AVE,LA00436192,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC253,2019-12-07T00:00:00.000Z,2020-03-07T00:00:00.000Z,7201 JOHNSONTOWN RD,LA00388834,PROPOSED WORKS,MAJOR,Streetworks
RC254,2019-12-07T00:00:00.000Z,2020-03-07T00:00:00.000Z,10600 LOWER RIVER RD,LA00434396,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC255,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,211 W MUHAMMAD ALI BLVD,LA00437778,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC256,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,600 E LIBERTY ST,LA00433350,PROPOSED WORKS,MAJOR,Streetworks
RC257,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,416 W MUHAMMAD ALI BLVD Unit 100,LA00436896,PROPOSED WORKS,MINOR,Streetworks
RC258,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,540 S 3RD ST,LA00424401,PROPOSED REMEDIAL,MINOR,Streetworks
RC259,2020-02-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,7020 FIELD VIEW CT,LA00429897,PROPOSED WORKS,MINOR,Streetworks
RC260,2020-02-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,7118 FIELD RIDGE CT,LA00433460,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC261,2020-02-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,101 W MUHAMMAD ALI BLVD,LA00434501,PROPOSED WORKS,STANDARD,Streetworks
RC262,2020-02-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,5000 FIRWOOD LN,LA00434098,PROPOSED WORKS,MAJOR,Streetworks
RC263,2020-02-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,5202 FIRWOOD LN,LA00422490,IN PROGRESS,MAJOR,Streetworks
RC264,2020-02-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,4701 ANDALUSIA LN,LA00418363,PROPOSED WORKS,MAJOR,Streetworks
RC265,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,100 E JEFFERSON ST,LA00425290,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC266,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,1100 CEDAR CT,LA00429930,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC267,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,1412 TUCKER STATION RD,LA00431624,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC268,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,660 S 8TH ST,LA00435681,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC269,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,2800 S FLOYD ST,LA00431549,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC270,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,3218 BON AIR AVE,LA00394407,PROPOSED WORKS,MAJOR,Streetworks
RC271,2020-01-29T00:00:00.000Z,2020-03-23T00:00:00.000Z,1087 E KENTUCKY ST,LA00435768,PROPOSED WORKS,MAJOR,Streetworks
RC272,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,626 RAWLINGS ST,LA00437631,PROPOSED WORKS,STANDARD,Streetworks
RC273,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,2336 S FLOYD ST,LA00436299,PROPOSED WORKS,STANDARD,Streetworks
RC274,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,200 E WASHINGTON ST,LA00432711,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC275,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1816 RANGELAND RD,LA00434693,PROPOSED WORKS,STANDARD,Streetworks
RC276,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,11200 WESTPORT RD,LA00435684,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC277,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,315 W BRECKINRIDGE ST,LA00432435,WORKS ABANDONED,MAJOR,Streetworks
RC278,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,101 E JEFFERSON ST,LA00433111,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC279,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,4701 SHENANDOAH DR,LA00433360,PROPOSED WORKS,MAJOR,Streetworks
RC280,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1552 KNIGHT RD,LA00431387,WORKS ABANDONED,MAJOR,Streetworks
RC281,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,4408 ATLAS POWDER RD,LA00429489,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC282,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1710 LINCOLN AVE,LA00437486,PROPOSED WORKS,MINOR,Streetworks
RC283,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,727 W CHESTNUT ST,LA00435044,PROPOSED WORKS,MAJOR,Streetworks
RC284,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,835 PERENNIAL DR,LA00435991,PROPOSED WORKS,MAJOR,Streetworks
RC285,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,749 VINE ST,LA00433763,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC286,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,508 M ST,LA00437724,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC287,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,5700 WALNUT WAY,LA00435578,PROPOSED WORKS,MAJOR,Streetworks
RC288,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1908 DEER PARK AVE,LA00421999,IN PROGRESS,MAJOR,Streetworks
RC289,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,731 BRENT ST,LA00435466,PROPOSED WORKS,MAJOR,Streetworks
RC290,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,9053 FERN CREEK RD,LA00426210,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC291,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,6220 DUTCHMANS LN,LA00431323,WORKS ABANDONED,MINOR,Streetworks
RC292,2020-02-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,425 W BROADWAY,LA00429279,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC293,2020-02-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,150 S 3RD ST,LA00434973,PROPOSED WORKS,MINOR,Streetworks
RC294,2020-02-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,100 S 2ND ST,LA00388854,PROPOSED WORKS,MAJOR,Streetworks
RC295,2020-02-25T00:00:00.000Z,2020-03-24T00:00:00.000Z,1517 S 12TH ST,LA00437554,PROPOSED WORKS,STANDARD,Streetworks
RC296,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1340 W ORMSBY AVE,LA00375139,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC297,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1371 LEXINGTON RD,LA00435589,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC298,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,3101 S 2ND ST,LA00394405,PROPOSED WORKS,MAJOR,Streetworks
RC299,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1520 NORRIS PL,LA00427428,PROPOSED WORKS,STANDARD,Streetworks
RC300,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1311 S SHELBY ST,LA00433779,PROPOSED WORKS,MAJOR,Streetworks
RC301,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,401 S 4TH ST,LA00418370,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00434291,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00436288,PROPOSED WORKS,MINOR,Streetworks
,,,,LA00432043,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00435486,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00436141,PROPOSED WORKS,ROAD RESTRICTION,Streetworks
,,,,LA00428167,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00432709,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00435012,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00436946,WORKS ABANDONED,STANDARD,Streetworks
,,,,LA00433059,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00436624,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00435225,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00435473,PROPOSED WORKS,MINOR,Streetworks
,,,,LA00435442,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00400148,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00423418,IN PROGRESS,MAJOR,Streetworks
,,,,LA00430735,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00437178,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00436044,WORKS ABANDONED,STANDARD,Streetworks
,,,,LA00436069,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00436493,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00437744,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00421622,WORKS ABANDONED,MAJOR,Streetworks
,,,,LA00435308,PROPOSED WORKS,MINOR,Streetworks
,,,,LA00437743,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00436142,PROPOSED WORKS,ROAD RESTRICTION,Streetworks
,,,,LA00422080,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00426206,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00436191,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00436497,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00436303,WORKS ABANDONED,MAJOR,Streetworks
,,,,LA00436494,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00437505,PROPOSED WORKS,MINOR,Streetworks
,,,,LA00437051,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00329314,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00422244,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00433915,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00429066,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00433711,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00398695,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00430424,PROPOSED WORKS,MINOR,Streetworks
,,,,LA00430613,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00434936,WORKS ABANDONED,MINOR,Streetworks
,,,,LA00429057,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00429901,PROPOSED WORKS,MINOR,Streetworks
,,,,LA00435459,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00436984,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00437403,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00427426,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00426294,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
,,,,LA00342544,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00398179,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00435993,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00429931,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00434545,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00435992,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00436197,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00437240,PROPOSED WORKS,MAJOR,Streetworks
,,,,LA00342550,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
,,,,LA00437334,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,,,LA00429883,PROPOSED WORKS,STANDARD,Streetworks
,,,,LA00429978,WORKS ABANDONED,MAJOR,Streetworks
,,,,LA00399413,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
