Age of Casualty,Direction,DistrictNumber,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
19,BOTH DIRECTIONS,10,39.584839,-81.647436,3/28/2018 7:00,6/30/2018 15:30
59,SOUTHBOUND,4,41.063161,-81.505375,10/31/2017 19:30,8/31/2018 17:00
16,BOTH DIRECTIONS,9,38.686237,-83.745581,1/1/2018 8:00,7/7/2018 16:00
58,BOTH DIRECTIONS,12,41.725616,-81.268959,4/20/2018 8:00,10/20/2018 6:00
25,BOTH DIRECTIONS,9,39.200853,-83.602912,4/2/2018 8:00,9/1/2018 16:00
22,BOTH DIRECTIONS,11,40.476794,-81.980156,4/16/2018 10:08,4/19/2018 23:59
35,BOTH DIRECTIONS,11,40.374704,-80.6126,5/31/2016 7:00,12/31/2018 17:00
40,BOTH DIRECTIONS,11,40.073966,-80.967386,4/11/2016 7:00,7/31/2018 17:00
55,BOTH DIRECTIONS,8,39.103197,-84.499687,7/1/2017 22:00,7/1/2018 6:00
18,BOTH DIRECTIONS,9,38.770986,-82.872565,6/26/2016 8:00,7/31/2018 16:00
33,BOTH DIRECTIONS,12,41.498514,-81.705228,7/3/2017 6:00,10/31/2018 18:00
22,NORTHBOUND,8,39.579451,-83.68306,3/14/2018 19:00,4/20/2018 14:00
50,BOTH DIRECTIONS,10,39.281224,-81.624693,4/2/2018 7:00,10/31/2018 17:00
41,BOTH DIRECTIONS,10,39.531448,-81.769992,3/12/2018 7:00,5/14/2018 18:00
27,BOTH DIRECTIONS,8,39.059969,-84.416877,4/30/2018 7:00,6/1/2020 17:00
56,BOTH DIRECTIONS,8,39.170503,-84.408852,3/19/2018 7:00,8/31/2019 15:30
34,BOTH DIRECTIONS,12,41.636361,-81.437605,3/22/2017 7:00,7/31/2018 20:00
17,BOTH DIRECTIONS,12,41.476334,-81.660906,6/12/2017 7:00,10/31/2019 10:00
11,BOTH DIRECTIONS,2,41.515172,-82.94298,10/14/2017 6:00,5/25/2018 18:00
43,BOTH DIRECTIONS,12,41.490292,-81.668335,11/12/2017 7:00,10/31/2019 7:00
18,BOTH DIRECTIONS,3,40.826528,-82.973279,3/30/2018 7:00,5/31/2018 17:00
19,BOTH DIRECTIONS,4,40.804822,-81.280517,4/2/2018 5:00,7/27/2018 17:00
19,BOTH DIRECTIONS,4,40.826486,-81.398918,4/2/2018 20:00,6/29/2018 17:00
38,WESTBOUND,9,38.739372,-82.970599,3/26/2018 8:00,10/31/2018 16:00
12,NORTHBOUND,12,41.578996,-81.549174,4/12/2018 20:00,6/15/2018 6:00
42,WESTBOUND,12,41.475027,-81.690211,4/12/2018 9:00,4/30/2018 14:00
24,BOTH DIRECTIONS,8,39.153983,-84.443227,4/17/2017 20:00,8/31/2018 6:00
61,BOTH DIRECTIONS,5,40.255056,-82.051506,4/13/2018 6:30,7/13/2018 17:00
42,WESTBOUND,3,41.349028,-82.831251,4/17/2018 9:30,4/17/2018 16:00
35,BOTH DIRECTIONS,10,39.321816,-82.405701,4/17/2018 9:02,4/17/2018 15:30
57,BOTH DIRECTIONS,4,40.863991,-81.364516,10/3/2016 5:00,9/28/2018 17:00
46,BOTH DIRECTIONS,4,41.06304,-81.517555,6/14/2017 8:00,6/26/2026 17:00
7,BOTH DIRECTIONS,1,40.779366,-83.526477,4/2/2018 8:00,7/2/2018 8:00
18,BOTH DIRECTIONS,1,40.914506,-84.350756,4/16/2018 8:00,4/25/2018 16:00
19,SOUTHBOUND,11,40.56536,-80.657608,4/16/2018 6:00,5/31/2018 17:00
15,NORTHBOUND,1,41.02452,-83.676268,6/19/2017 8:00,11/30/2020 16:00
16,BOTH DIRECTIONS,9,39.130953,-82.887805,5/31/2017 14:00,8/12/2018 16:00
46,BOTH DIRECTIONS,11,39.905557,-80.90364,9/11/2017 7:00,6/30/2018 17:00
35,WESTBOUND,10,39.805745,-81.290816,6/15/2018 7:00,6/30/2018 17:00
37,WESTBOUND,12,41.503169,-81.699251,4/17/2018 20:02,4/18/2018 6:00
67,EASTBOUND,10,39.533241,-81.247419,6/3/2018 7:00,6/30/2018 17:00
22,BOTH DIRECTIONS,7,40.620346,-84.258668,4/2/2018 7:00,5/3/2018 17:00
32,BOTH DIRECTIONS,8,39.240756,-84.451678,4/10/2017 9:00,11/10/2020 17:00
23,BOTH DIRECTIONS,8,39.09284,-84.509877,3/20/2018 22:00,5/1/2018 17:00
47,BOTH DIRECTIONS,9,38.850258,-82.867943,2/23/2018 8:00,4/30/2018 16:00
9,BOTH DIRECTIONS,11,40.377617,-80.615856,5/31/2016 7:00,12/31/2018 17:00
7,BOTH DIRECTIONS,5,39.948567,-82.047369,3/20/2017 7:00,7/1/2019 19:00
4,BOTH DIRECTIONS,10,39.131066,-82.427038,4/9/2018 7:00,6/30/2018 17:00
31,BOTH DIRECTIONS,12,41.409337,-81.628261,12/4/2017 19:00,6/29/2024 6:00
6,BOTH DIRECTIONS,4,41.038599,-81.663986,3/5/2018 5:00,5/11/2018 17:00
21,WESTBOUND,6,39.884299,-83.024222,4/17/2018 21:00,4/18/2018 5:00
50,BOTH DIRECTIONS,8,39.104952,-84.501305,1/17/2017 9:00,9/30/2018 14:00
51,BOTH DIRECTIONS,3,40.962186,-82.086579,3/30/2018 7:00,10/31/2018 17:00
28,BOTH DIRECTIONS,9,39.436488,-83.222742,4/2/2018 8:00,9/30/2018 16:00
54,EASTBOUND,7,39.865379,-83.993095,3/16/2018 7:00,8/16/2018 17:00
32,BOTH DIRECTIONS,9,39.165527,-83.22064,5/1/2018 8:00,9/30/2018 16:00
32,BOTH DIRECTIONS,9,38.774274,-82.874216,2/12/2017 8:00,5/31/2018 18:00
4,BOTH DIRECTIONS,7,39.856257,-84.412929,1/22/2018 7:00,9/30/2018 17:00
50,WESTBOUND,8,39.192891,-84.477114,12/1/2017 22:00,12/1/2018 5:00
22,WESTBOUND,3,41.379491,-82.006514,4/9/2018 7:00,4/23/2018 7:00
36,WESTBOUND,2,41.50308,-82.838257,11/28/2017 8:00,5/25/2018 18:00
74,BOTH DIRECTIONS,7,40.55862,-84.320041,3/26/2018 7:00,7/31/2018 17:00
50,BOTH DIRECTIONS,9,38.758102,-82.895656,4/2/2018 8:00,9/30/2018 16:00
46,BOTH DIRECTIONS,11,40.762271,-80.707861,4/16/2018 1:49,4/17/2018 11:00
32,BOTH DIRECTIONS,4,40.960712,-80.639401,3/16/2018 5:00,8/24/2018 17:00
20,WESTBOUND,3,41.376911,-82.253446,4/16/2018 9:00,5/25/2018 0:00
41,BOTH DIRECTIONS,2,41.679137,-83.574077,8/7/2017 6:00,7/31/2018 18:00
26,BOTH DIRECTIONS,3,40.953794,-82.071602,3/30/2018 7:00,9/30/2018 17:00
19,BOTH DIRECTIONS,11,40.624107,-80.586743,1/29/2018 7:00,9/30/2018 17:00
28,NORTHBOUND,10,39.642723,-80.917629,2/23/2018 7:00,6/1/2018 15:30
20,EASTBOUND,10,39.652343,-81.887852,3/12/2018 7:00,6/1/2018 17:00
19,BOTH DIRECTIONS,12,41.503396,-81.651857,7/14/2017 6:00,10/31/2018 6:00
53,NORTHBOUND,12,41.501517,-81.479787,9/19/2016 6:00,5/31/2018 9:00
23,WESTBOUND,3,41.34178,-82.350765,4/17/2018 7:00,4/18/2018 7:00
55,BOTH DIRECTIONS,9,39.135152,-82.546234,4/29/2018 8:00,7/14/2018 16:00
24,NORTHBOUND,2,41.55303,-83.599076,4/17/2018 8:52,4/17/2018 13:00
15,SOUTHBOUND,6,40.097275,-83.137311,4/17/2018 22:00,4/18/2018 5:00
23,BOTH DIRECTIONS,10,39.762242,-81.116756,7/1/2018 7:00,8/1/2018 17:00
65,BOTH DIRECTIONS,7,40.661499,-84.420567,4/2/2018 7:00,4/30/2018 17:00
33,BOTH DIRECTIONS,11,40.624995,-80.587419,9/14/2017 12:00,12/31/2018 17:00
57,BOTH DIRECTIONS,4,41.041634,-81.609855,3/5/2018 5:00,7/13/2018 17:00
40,BOTH DIRECTIONS,4,41.063744,-81.527123,12/11/2017 5:00,4/27/2018 17:00
42,BOTH DIRECTIONS,11,40.248186,-81.203034,1/17/2017 7:00,5/31/2018 17:00
43,BOTH DIRECTIONS,2,41.650323,-83.548893,8/21/2017 6:00,7/31/2018 18:00
36,BOTH DIRECTIONS,4,40.960161,-80.640088,3/16/2018 5:00,10/26/2018 17:00
13,BOTH DIRECTIONS,11,40.397091,-80.633082,4/16/2018 7:00,10/31/2018 17:00
30,BOTH DIRECTIONS,8,39.600795,-83.721448,3/15/2018 7:00,6/30/2018 15:30
23,BOTH DIRECTIONS,10,39.202063,-81.768834,4/2/2018 7:30,4/27/2018 14:30
67,BOTH DIRECTIONS,11,40.464114,-80.972414,4/16/2018 7:00,4/20/2018 16:00
52,,,,,,
56,,,,,,
25,,,,,,
57,,,,,,
43,,,,,,
60,,,,,,
72,,,,,,
56,,,,,,
34,,,,,,
63,,,,,,
62,,,,,,
21,,,,,,
40,,,,,,
31,,,,,,
10,,,,,,
24,,,,,,
43,,,,,,
64,,,,,,
45,,,,,,
28,,,,,,
28,,,,,,
32,,,,,,
21,,,,,,
22,,,,,,
18,,,,,,
25,,,,,,
24,,,,,,
38,,,,,,
42,,,,,,
9,,,,,,
8,,,,,,
10,,,,,,
34,,,,,,
26,,,,,,
29,,,,,,
44,,,,,,
57,,,,,,
7,,,,,,
26,,,,,,
25,,,,,,
17,,,,,,
21,,,,,,
20,,,,,,
51,,,,,,
69,,,,,,
17,,,,,,
19,,,,,,
57,,,,,,
35,,,,,,
20,,,,,,
17,,,,,,
22,,,,,,
22,,,,,,
25,,,,,,
24,,,,,,
23,,,,,,
42,,,,,,
29,,,,,,
30,,,,,,
18,,,,,,
40,,,,,,
32,,,,,,
16,,,,,,
72,,,,,,
39,,,,,,
34,,,,,,
57,,,,,,
44,,,,,,
7,,,,,,
77,,,,,,
12,,,,,,
23,,,,,,
47,,,,,,
42,,,,,,
20,,,,,,
21,,,,,,
20,,,,,,
49,,,,,,
5,,,,,,
32,,,,,,
34,,,,,,
21,,,,,,
44,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
36,,,,,,
11,,,,,,
42,,,,,,
24,,,,,,
69,,,,,,
48,,,,,,
52,,,,,,
22,,,,,,
43,,,,,,
47,,,,,,
34,,,,,,
28,,,,,,
16,,,,,,
83,,,,,,
22,,,,,,
70,,,,,,
36,,,,,,
45,,,,,,
35,,,,,,
16,,,,,,
16,,,,,,
16,,,,,,
16,,,,,,
32,,,,,,
71,,,,,,
46,,,,,,
39,,,,,,
27,,,,,,
35,,,,,,
17,,,,,,
19,,,,,,
23,,,,,,
12,,,,,,
57,,,,,,
64,,,,,,
65,,,,,,
51,,,,,,
23,,,,,,
48,,,,,,
45,,,,,,
36,,,,,,
38,,,,,,
19,,,,,,
19,,,,,,
32,,,,,,
54,,,,,,
46,,,,,,
40,,,,,,
42,,,,,,
76,,,,,,
43,,,,,,
50,,,,,,
59,,,,,,
16,,,,,,
40,,,,,,
85,,,,,,
10,,,,,,
19,,,,,,
33,,,,,,
34,,,,,,
33,,,,,,
33,,,,,,
45,,,,,,
30,,,,,,
37,,,,,,
42,,,,,,
65,,,,,,
28,,,,,,
29,,,,,,
4,,,,,,
34,,,,,,
20,,,,,,
24,,,,,,
41,,,,,,
23,,,,,,
90,,,,,,
19,,,,,,
20,,,,,,
29,,,,,,
23,,,,,,
18,,,,,,
24,,,,,,
19,,,,,,
41,,,,,,
35,,,,,,
64,,,,,,
43,,,,,,
52,,,,,,
30,,,,,,
18,,,,,,
45,,,,,,
43,,,,,,
18,,,,,,
50,,,,,,
55,,,,,,
76,,,,,,
45,,,,,,
39,,,,,,
48,,,,,,
51,,,,,,
28,,,,,,
39,,,,,,
51,,,,,,
76,,,,,,
83,,,,,,
81,,,,,,
79,,,,,,
19,,,,,,
21,,,,,,
20,,,,,,
23,,,,,,
35,,,,,,
38,,,,,,
5,,,,,,
19,,,,,,
50,,,,,,
45,,,,,,
50,,,,,,
18,,,,,,
45,,,,,,
13,,,,,,
81,,,,,,
30,,,,,,
22,,,,,,
24,,,,,,
31,,,,,,
19,,,,,,
22,,,,,,
42,,,,,,
43,,,,,,
20,,,,,,
9,,,,,,
25,,,,,,
24,,,,,,
19,,,,,,
18,,,,,,
15,,,,,,
15,,,,,,
58,,,,,,
12,,,,,,
21,,,,,,
52,,,,,,
18,,,,,,
28,,,,,,
28,,,,,,
22,,,,,,
50,,,,,,
25,,,,,,
43,,,,,,
40,,,,,,
34,,,,,,
29,,,,,,
70,,,,,,
59,,,,,,
45,,,,,,
43,,,,,,
31,,,,,,
28,,,,,,
41,,,,,,
57,,,,,,
13,,,,,,
9,,,,,,
82,,,,,,
20,,,,,,
30,,,,,,
36,,,,,,
30,,,,,,
47,,,,,,
26,,,,,,
34,,,,,,
27,,,,,,
21,,,,,,
45,,,,,,
46,,,,,,
40,,,,,,
47,,,,,,
57,,,,,,
45,,,,,,
23,,,,,,
23,,,,,,
51,,,,,,
18,,,,,,
16,,,,,,
18,,,,,,
37,,,,,,
22,,,,,,
29,,,,,,
20,,,,,,
66,,,,,,
36,,,,,,
27,,,,,,
64,,,,,,
36,,,,,,
15,,,,,,
30,,,,,,
23,,,,,,
21,,,,,,
30,,,,,,
20,,,,,,
35,,,,,,
22,,,,,,
36,,,,,,
5,,,,,,
57,,,,,,
67,,,,,,
49,,,,,,
19,,,,,,
30,,,,,,
41,,,,,,
20,,,,,,
40,,,,,,
63,,,,,,
17,,,,,,
52,,,,,,
45,,,,,,
21,,,,,,
52,,,,,,
5,,,,,,
25,,,,,,
25,,,,,,
21,,,,,,
21,,,,,,
21,,,,,,
73,,,,,,
27,,,,,,
51,,,,,,
33,,,,,,
20,,,,,,
71,,,,,,
46,,,,,,
48,,,,,,
15,,,,,,
38,,,,,,
11,,,,,,
60,,,,,,
26,,,,,,
4,,,,,,
43,,,,,,
13,,,,,,
38,,,,,,
73,,,,,,
64,,,,,,
77,,,,,,
70,,,,,,
85,,,,,,
36,,,,,,
37,,,,,,
86,,,,,,
10,,,,,,
21,,,,,,
29,,,,,,
38,,,,,,
13,,,,,,
9,,,,,,
21,,,,,,
47,,,,,,
20,,,,,,
19,,,,,,
45,,,,,,
19,,,,,,
47,,,,,,
60,,,,,,
29,,,,,,
11,,,,,,
42,,,,,,
33,,,,,,
9,,,,,,
41,,,,,,
75,,,,,,
19,,,,,,
36,,,,,,
16,,,,,,
18,,,,,,
17,,,,,,
17,,,,,,
16,,,,,,
49,,,,,,
18,,,,,,
18,,,,,,
29,,,,,,
30,,,,,,
42,,,,,,
31,,,,,,
70,,,,,,
34,,,,,,
40,,,,,,
37,,,,,,
26,,,,,,
28,,,,,,
53,,,,,,
27,,,,,,
30,,,,,,
9,,,,,,
25,,,,,,
20,,,,,,
43,,,,,,
69,,,,,,
27,,,,,,
49,,,,,,
51,,,,,,
40,,,,,,
12,,,,,,
55,,,,,,
21,,,,,,
48,,,,,,
26,,,,,,
12,,,,,,
15,,,,,,
15,,,,,,
23,,,,,,
49,,,,,,
25,,,,,,
37,,,,,,
29,,,,,,
26,,,,,,
35,,,,,,
20,,,,,,
25,,,,,,
32,,,,,,
19,,,,,,
42,,,,,,
40,,,,,,
12,,,,,,
46,,,,,,
22,,,,,,
51,,,,,,
37,,,,,,
20,,,,,,
43,,,,,,
25,,,,,,
11,,,,,,
33,,,,,,
22,,,,,,
33,,,,,,
25,,,,,,
55,,,,,,
53,,,,,,
22,,,,,,
38,,,,,,
27,,,,,,
38,,,,,,
27,,,,,,
42,,,,,,
7,,,,,,
36,,,,,,
33,,,,,,
5,,,,,,
62,,,,,,
26,,,,,,
52,,,,,,
8,,,,,,
48,,,,,,
48,,,,,,
43,,,,,,
40,,,,,,
74,,,,,,
17,,,,,,
55,,,,,,
2,,,,,,
35,,,,,,
22,,,,,,
38,,,,,,
9,,,,,,
7,,,,,,
33,,,,,,
34,,,,,,
61,,,,,,
32,,,,,,
35,,,,,,
27,,,,,,
45,,,,,,
43,,,,,,
47,,,,,,
23,,,,,,
86,,,,,,
46,,,,,,
18,,,,,,
32,,,,,,
39,,,,,,
58,,,,,,
63,,,,,,
28,,,,,,
24,,,,,,
85,,,,,,
12,,,,,,
91,,,,,,
4,,,,,,
36,,,,,,
39,,,,,,
39,,,,,,
28,,,,,,
57,,,,,,
26,,,,,,
25,,,,,,
3,,,,,,
48,,,,,,
57,,,,,,
36,,,,,,
31,,,,,,
79,,,,,,
20,,,,,,
39,,,,,,
27,,,,,,
8,,,,,,
35,,,,,,
34,,,,,,
31,,,,,,
28,,,,,,
29,,,,,,
33,,,,,,
21,,,,,,
28,,,,,,
19,,,,,,
36,,,,,,
53,,,,,,
34,,,,,,
20,,,,,,
33,,,,,,
36,,,,,,
19,,,,,,
30,,,,,,
35,,,,,,
31,,,,,,
7,,,,,,
18,,,,,,
18,,,,,,
31,,,,,,
27,,,,,,
27,,,,,,
48,,,,,,
18,,,,,,
50,,,,,,
38,,,,,,
81,,,,,,
37,,,,,,
66,,,,,,
4,,,,,,
40,,,,,,
42,,,,,,
23,,,,,,
47,,,,,,
43,,,,,,
10,,,,,,
7,,,,,,
25,,,,,,
27,,,,,,
22,,,,,,
6,,,,,,
2,,,,,,
58,,,,,,
10,,,,,,
20,,,,,,
36,,,,,,
10,,,,,,
42,,,,,,
30,,,,,,
8,,,,,,
30,,,,,,
10,,,,,,
20,,,,,,
31,,,,,,
24,,,,,,
26,,,,,,
11,,,,,,
37,,,,,,
33,,,,,,
55,,,,,,
23,,,,,,
25,,,,,,
81,,,,,,
62,,,,,,
43,,,,,,
50,,,,,,
21,,,,,,
17,,,,,,
32,,,,,,
45,,,,,,
23,,,,,,
21,,,,,,
41,,,,,,
62,,,,,,
41,,,,,,
50,,,,,,
33,,,,,,
8,,,,,,
16,,,,,,
50,,,,,,
32,,,,,,
50,,,,,,
24,,,,,,
4,,,,,,
46,,,,,,
18,,,,,,
22,,,,,,
44,,,,,,
46,,,,,,
68,,,,,,
35,,,,,,
10,,,,,,
3,,,,,,
37,,,,,,
33,,,,,,
23,,,,,,
21,,,,,,
45,,,,,,
31,,,,,,
43,,,,,,
27,,,,,,
51,,,,,,
14,,,,,,
79,,,,,,
17,,,,,,
46,,,,,,
38,,,,,,
75,,,,,,
8,,,,,,
41,,,,,,
53,,,,,,
54,,,,,,
51,,,,,,
62,,,,,,
20,,,,,,
22,,,,,,
20,,,,,,
23,,,,,,
20,,,,,,
49,,,,,,
49,,,,,,
35,,,,,,
37,,,,,,
21,,,,,,
45,,,,,,
19,,,,,,
55,,,,,,
18,,,,,,
85,,,,,,
18,,,,,,
44,,,,,,
18,,,,,,
19,,,,,,
5,,,,,,
49,,,,,,
41,,,,,,
33,,,,,,
38,,,,,,
89,,,,,,
49,,,,,,
52,,,,,,
25,,,,,,
27,,,,,,
23,,,,,,
29,,,,,,
54,,,,,,
27,,,,,,
34,,,,,,
31,,,,,,
24,,,,,,
58,,,,,,
56,,,,,,
37,,,,,,
37,,,,,,
46,,,,,,
32,,,,,,
82,,,,,,
73,,,,,,
6,,,,,,
3,,,,,,
19,,,,,,
42,,,,,,
26,,,,,,
24,,,,,,
35,,,,,,
75,,,,,,
60,,,,,,
35,,,,,,
30,,,,,,
22,,,,,,
12,,,,,,
45,,,,,,
20,,,,,,
50,,,,,,
50,,,,,,
71,,,,,,
37,,,,,,
34,,,,,,
15,,,,,,
49,,,,,,
49,,,,,,
47,,,,,,
28,,,,,,
11,,,,,,
55,,,,,,
38,,,,,,
27,,,,,,
18,,,,,,
17,,,,,,
17,,,,,,
37,,,,,,
37,,,,,,
57,,,,,,
20,,,,,,
20,,,,,,
19,,,,,,
27,,,,,,
25,,,,,,
43,,,,,,
32,,,,,,
4,,,,,,
48,,,,,,
31,,,,,,
44,,,,,,
37,,,,,,
47,,,,,,
45,,,,,,
25,,,,,,
55,,,,,,
46,,,,,,
24,,,,,,
35,,,,,,
58,,,,,,
16,,,,,,
18,,,,,,
44,,,,,,
59,,,,,,
25,,,,,,
27,,,,,,
18,,,,,,
80,,,,,,
19,,,,,,
34,,,,,,
33,,,,,,
47,,,,,,
25,,,,,,
30,,,,,,
54,,,,,,
46,,,,,,
35,,,,,,
50,,,,,,
17,,,,,,
16,,,,,,
41,,,,,,
74,,,,,,
21,,,,,,
20,,,,,,
9,,,,,,
55,,,,,,
55,,,,,,
52,,,,,,
34,,,,,,
24,,,,,,
44,,,,,,
38,,,,,,
47,,,,,,
33,,,,,,
15,,,,,,
4,,,,,,
30,,,,,,
26,,,,,,
5,,,,,,
49,,,,,,
50,,,,,,
27,,,,,,
58,,,,,,
38,,,,,,
55,,,,,,
59,,,,,,
59,,,,,,
39,,,,,,
71,,,,,,
21,,,,,,
51,,,,,,
3,,,,,,
56,,,,,,
59,,,,,,
47,,,,,,
33,,,,,,
75,,,,,,
43,,,,,,
77,,,,,,
20,,,,,,
19,,,,,,
19,,,,,,
25,,,,,,
52,,,,,,
61,,,,,,
19,,,,,,
45,,,,,,
26,,,,,,
64,,,,,,
53,,,,,,
5,,,,,,
54,,,,,,
37,,,,,,
66,,,,,,
25,,,,,,
22,,,,,,
41,,,,,,
21,,,,,,
21,,,,,,
67,,,,,,
27,,,,,,
58,,,,,,
47,,,,,,
26,,,,,,
38,,,,,,
21,,,,,,
65,,,,,,
12,,,,,,
24,,,,,,
33,,,,,,
14,,,,,,
10,,,,,,
82,,,,,,
25,,,,,,
37,,,,,,
20,,,,,,
31,,,,,,
50,,,,,,
21,,,,,,
29,,,,,,
47,,,,,,
43,,,,,,
58,,,,,,
81,,,,,,
38,,,,,,
35,,,,,,
19,,,,,,
12,,,,,,
30,,,,,,
38,,,,,,
25,,,,,,
57,,,,,,
38,,,,,,
6,,,,,,
30,,,,,,
30,,,,,,
40,,,,,,
44,,,,,,
18,,,,,,
43,,,,,,
19,,,,,,
12,,,,,,
41,,,,,,
40,,,,,,
13,,,,,,
65,,,,,,
16,,,,,,
16,,,,,,
27,,,,,,
42,,,,,,
62,,,,,,
19,,,,,,
23,,,,,,
24,,,,,,
59,,,,,,
25,,,,,,
43,,,,,,
31,,,,,,
16,,,,,,
62,,,,,,
22,,,,,,
35,,,,,,
20,,,,,,
14,,,,,,
12,,,,,,
18,,,,,,
61,,,,,,
66,,,,,,
4,,,,,,
83,,,,,,
40,,,,,,
13,,,,,,
18,,,,,,
39,,,,,,
53,,,,,,
31,,,,,,
31,,,,,,
26,,,,,,
21,,,,,,
27,,,,,,
31,,,,,,
41,,,,,,
43,,,,,,
16,,,,,,
48,,,,,,
51,,,,,,
24,,,,,,
37,,,,,,
24,,,,,,
31,,,,,,
32,,,,,,
39,,,,,,
23,,,,,,
21,,,,,,
68,,,,,,
22,,,,,,
47,,,,,,
35,,,,,,
93,,,,,,
84,,,,,,
51,,,,,,
23,,,,,,
25,,,,,,
9,,,,,,
29,,,,,,
33,,,,,,
24,,,,,,
22,,,,,,
37,,,,,,
36,,,,,,
47,,,,,,
8,,,,,,
52,,,,,,
63,,,,,,
27,,,,,,
42,,,,,,
39,,,,,,
54,,,,,,
30,,,,,,
29,,,,,,
28,,,,,,
22,,,,,,
22,,,,,,
5,,,,,,
20,,,,,,
17,,,,,,
26,,,,,,
26,,,,,,
20,,,,,,
22,,,,,,
24,,,,,,
17,,,,,,
22,,,,,,
60,,,,,,
42,,,,,,
37,,,,,,
12,,,,,,
28,,,,,,
49,,,,,,
53,,,,,,
48,,,,,,
61,,,,,,
38,,,,,,
37,,,,,,
28,,,,,,
47,,,,,,
62,,,,,,
30,,,,,,
4,,,,,,
32,,,,,,
2,,,,,,
28,,,,,,
41,,,,,,
80,,,,,,
40,,,,,,
29,,,,,,
7,,,,,,
21,,,,,,
19,,,,,,
24,,,,,,
31,,,,,,
33,,,,,,
45,,,,,,
14,,,,,,
77,,,,,,
21,,,,,,
16,,,,,,
15,,,,,,
16,,,,,,
46,,,,,,
21,,,,,,
16,,,,,,
16,,,,,,
17,,,,,,
9,,,,,,
12,,,,,,
41,,,,,,
58,,,,,,
56,,,,,,
25,,,,,,
63,,,,,,
17,,,,,,
17,,,,,,
12,,,,,,
25,,,,,,
22,,,,,,
21,,,,,,
21,,,,,,
18,,,,,,
43,,,,,,
22,,,,,,
22,,,,,,
36,,,,,,
60,,,,,,
48,,,,,,
41,,,,,,
4,,,,,,
22,,,,,,
46,,,,,,
25,,,,,,
20,,,,,,
16,,,,,,
17,,,,,,
17,,,,,,
50,,,,,,
14,,,,,,
43,,,,,,
30,,,,,,
60,,,,,,
26,,,,,,
60,,,,,,
26,,,,,,
48,,,,,,
27,,,,,,
25,,,,,,
23,,,,,,
26,,,,,,
16,,,,,,
17,,,,,,
14,,,,,,
17,,,,,,
27,,,,,,
23,,,,,,
43,,,,,,
14,,,,,,
22,,,,,,
30,,,,,,
5,,,,,,
61,,,,,,
11,,,,,,
19,,,,,,
40,,,,,,
50,,,,,,
50,,,,,,
34,,,,,,
29,,,,,,
12,,,,,,
23,,,,,,
46,,,,,,
30,,,,,,
53,,,,,,
62,,,,,,
53,,,,,,
33,,,,,,
70,,,,,,
36,,,,,,
15,,,,,,
16,,,,,,
51,,,,,,
31,,,,,,
33,,,,,,
30,,,,,,
23,,,,,,
32,,,,,,
89,,,,,,
29,,,,,,
36,,,,,,
53,,,,,,
29,,,,,,
57,,,,,,
20,,,,,,
59,,,,,,
69,,,,,,
17,,,,,,
16,,,,,,
29,,,,,,
40,,,,,,
31,,,,,,
48,,,,,,
21,,,,,,
47,,,,,,
36,,,,,,
29,,,,,,
18,,,,,,
26,,,,,,
31,,,,,,
36,,,,,,
40,,,,,,
32,,,,,,
22,,,,,,
11,,,,,,
34,,,,,,
36,,,,,,
2,,,,,,
15,,,,,,
27,,,,,,
25,,,,,,
21,,,,,,
47,,,,,,
34,,,,,,
9,,,,,,
46,,,,,,
49,,,,,,
20,,,,,,
20,,,,,,
20,,,,,,
25,,,,,,
38,,,,,,
38,,,,,,
46,,,,,,
24,,,,,,
28,,,,,,
35,,,,,,
12,,,,,,
62,,,,,,
21,,,,,,
23,,,,,,
52,,,,,,
27,,,,,,
51,,,,,,
17,,,,,,
51,,,,,,
31,,,,,,
16,,,,,,
18,,,,,,
17,,,,,,
68,,,,,,
36,,,,,,
26,,,,,,
27,,,,,,
25,,,,,,
52,,,,,,
37,,,,,,
26,,,,,,
11,,,,,,
63,,,,,,
15,,,,,,
46,,,,,,
48,,,,,,
16,,,,,,
17,,,,,,
22,,,,,,
5,,,,,,
5,,,,,,
34,,,,,,
46,,,,,,
55,,,,,,
65,,,,,,
34,,,,,,
29,,,,,,
27,,,,,,
31,,,,,,
37,,,,,,
42,,,,,,
36,,,,,,
34,,,,,,
67,,,,,,
47,,,,,,
12,,,,,,
27,,,,,,
58,,,,,,
19,,,,,,
14,,,,,,
17,,,,,,
41,,,,,,
18,,,,,,
18,,,,,,
27,,,,,,
19,,,,,,
29,,,,,,
18,,,,,,
16,,,,,,
19,,,,,,
24,,,,,,
19,,,,,,
80,,,,,,
7,,,,,,
25,,,,,,
15,,,,,,
8,,,,,,
27,,,,,,
38,,,,,,
49,,,,,,
26,,,,,,
18,,,,,,
30,,,,,,
38,,,,,,
1,,,,,,
50,,,,,,
8,,,,,,
38,,,,,,
42,,,,,,
67,,,,,,
55,,,,,,
45,,,,,,
22,,,,,,
25,,,,,,
35,,,,,,
51,,,,,,
60,,,,,,
23,,,,,,
35,,,,,,
41,,,,,,
45,,,,,,
23,,,,,,
22,,,,,,
29,,,,,,
21,,,,,,
18,,,,,,
18,,,,,,
19,,,,,,
18,,,,,,
27,,,,,,
34,,,,,,
67,,,,,,
21,,,,,,
32,,,,,,
48,,,,,,
36,,,,,,
26,,,,,,
28,,,,,,
45,,,,,,
42,,,,,,
